Year,Dassen Island,Robben Island,Boulders,Stony Point,Dyer Island,St Croix Island,Bird Island,Mercury,Ichaboe,Halifax,Possession 
1979,12646,,,,22655,13821,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,14850,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,572,NA,NA,NA,NA
1982,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
1983,NA,9,NA,1,NA,NA,NA,NA,NA,NA,NA
1984,NA,24,NA,5,NA,NA,NA,NA,NA,NA,NA
1985,NA,103,2,11,NA,19448,NA,NA,NA,NA,NA
1986,NA,227,NA,27,18481,NA,NA,1126,739,389,327
1987,4588,476,7,NA,NA,NA,NA,2181,1372,678,454
1988,NA,849,34,NA,NA,NA,NA,NA,NA,NA,946
1989,8428,829,38,69,NA,NA,NA,3394,2427,NA,NA
1990,NA,1278,54,89,8349,NA,3703,3552,1937,1050,702
1991,9012,1879,131,77,6115,NA,3194,NA,NA,NA,NA
1992,7563,2027,158,57,7579,NA,3784,3576,2418,690,669
1993,7199,2176,241,40,2374,19478,2293,3666,2655,709,751
1994,9389,2799,359,44,4649,NA,NA,2122,2736,681,506
1995,9792,2279,366,NA,4260,NA,3651,2261,3343,473,608
1996,9502,3097,416,NA,3279,NA,NA,2387,2640,384,498
1997,8651,3336,726,NA,2745,NA,1621,2662,1903,431,512
1998,10918,3467,555,72,1963,NA,NA,2884,1562,444,465
1999,15155,4399,906,NA,2363,14005,3883,3041,1731,497,477
2000,17042,5407,949,104,2220,15211,4093,2822,1345,370,359
2001,21410,6427,1054,111,2088,16950,5376,2615,2260,520,362
2002,22681,7099,1083,NA,2145,NA,NA,3462,2182,508,406
2003,20196,5968,1033,123,1929,9116,936,2783,2158,534,372
2004,24901,7798,1196,98,2216,10088,2951,2037,864,669,445
2005,22687,7152,1227,186,2053,4153,3203,2455,1077,612,470
2006,13283,5868,1075,265,2057,8077,2822,1813,715,NA,356
2007,11785,5935,824,260,1513,4363,1403,2026,418,567,459
2008,5719,4215,913,310,1605,7739,2765,3188,604,635,474
2009,5145,2415,704,487,1260,6824,2624,2565,615,843,616
2010,4929,2628,933,466,1455,NA,NA,3171,661,852,594
2011,3896,1817,663,1148,975,8500,2600,3101,576,771,623
2012,2678,1669,831,1842,1300,6625,3031,3319,551,747,618
2013,2633,1364,553,2033,1250,7657,936,3056,605,849,726
2014,2022,1016,962,2045,1148,8685,2837,2448,676,883,858
2015,2140,1216,982,2533,1159,7616,2843,2646,488,1092,1205
2016,1862,1355,870,2388,1376,6107,2635,NA,NA,NA,NA
2017,1922,1440,854,1774,951,6145,2229,NA,NA,NA,NA
