"assessment","scenario","name","yr","Type","estimation","mu","lci","uci","lpp","upp"
"Afr_penguin","s1","global",1979,"census","fit",52361.7474022187,46170.1120187972,59146.2903599133,NA,NA
"Afr_penguin","s1","global",1980,"census","fit",51053.9120894983,37753.8018545387,70463.2188520993,NA,NA
"Afr_penguin","s1","global",1981,"census","fit",49760.8528915194,32423.9749851515,75034.0076852767,NA,NA
"Afr_penguin","s1","global",1982,"census","fit",49055.4161575731,30255.7492235575,77471.0104504117,NA,NA
"Afr_penguin","s1","global",1983,"census","fit",48518.9834645764,30026.6338349132,77002.6160022063,NA,NA
"Afr_penguin","s1","global",1984,"census","fit",48114.1060406542,31182.3138813615,72976.9259052611,NA,NA
"Afr_penguin","s1","global",1985,"census","fit",48143.3881863326,36617.6091058122,64014.0037423408,NA,NA
"Afr_penguin","s1","global",1986,"census","fit",47556.8447326871,36120.7641279119,64059.6310237292,NA,NA
"Afr_penguin","s1","global",1987,"census","fit",46133.7433742366,31382.0510779332,69071.5605346289,NA,NA
"Afr_penguin","s1","global",1988,"census","fit",47220.4706909929,31586.3802025611,72596.3994391941,NA,NA
"Afr_penguin","s1","global",1989,"census","fit",48945.2804629846,34370.8295068506,75383.2033142066,NA,NA
"Afr_penguin","s1","global",1990,"census","fit",48405.8571352165,35184.8715628247,72551.0966436832,NA,NA
"Afr_penguin","s1","global",1991,"census","fit",47141.4349886072,35050.0949408547,67933.2642599646,NA,NA
"Afr_penguin","s1","global",1992,"census","fit",46895.196837276,36897.4159239799,62158.2367077725,NA,NA
"Afr_penguin","s1","global",1993,"census","fit",42062.1220872037,37753.8330142463,47000.7923029307,NA,NA
"Afr_penguin","s1","global",1994,"census","fit",44128.4250699571,34664.289523589,58100.5146904182,NA,NA
"Afr_penguin","s1","global",1995,"census","fit",44098.9954637633,33959.3096225091,61737.8442161798,NA,NA
"Afr_penguin","s1","global",1996,"census","fit",41169.6948468806,30954.2484468106,58888.5764039726,NA,NA
"Afr_penguin","s1","global",1997,"census","fit",38580.934400615,29368.4004650971,53816.4352287456,NA,NA
"Afr_penguin","s1","global",1998,"census","fit",40133.3899251368,32344.170522523,51794.5318952994,NA,NA
"Afr_penguin","s1","global",1999,"census","fit",46125.2992575542,41844.6189996902,51088.0263493437,NA,NA
"Afr_penguin","s1","global",2000,"census","fit",50155.6280160792,45564.4687171721,55271.7406181904,NA,NA
"Afr_penguin","s1","global",2001,"census","fit",57478.3825755561,51914.0112132749,63470.4569857467,NA,NA
"Afr_penguin","s1","global",2002,"census","fit",53669.2390545988,46680.8002079949,62298.2993293318,NA,NA
"Afr_penguin","s1","global",2003,"census","fit",46285.829701705,41691.721724534,51533.2880014404,NA,NA
"Afr_penguin","s1","global",2004,"census","fit",51350.6593811821,46123.601478631,57211.870606745,NA,NA
"Afr_penguin","s1","global",2005,"census","fit",44552.0522679774,40062.8408490573,49548.125791919,NA,NA
"Afr_penguin","s1","global",2006,"census","fit",36542.4644709734,33190.7793189287,40135.5381099626,NA,NA
"Afr_penguin","s1","global",2007,"census","fit",29601.0567113144,26872.1053988246,32540.7866291239,NA,NA
"Afr_penguin","s1","global",2008,"census","fit",27598.8126525307,25419.5119924296,29941.7918114897,NA,NA
"Afr_penguin","s1","global",2009,"census","fit",24519.1492892212,22572.4213211644,26635.4539907804,NA,NA
"Afr_penguin","s1","global",2010,"census","fit",25540.370376115,21966.8530404435,30167.5794027397,NA,NA
"Afr_penguin","s1","global",2011,"census","fit",24482.3959673526,22459.3494425355,26619.2328867244,NA,NA
"Afr_penguin","s1","global",2012,"census","fit",23033.3639193924,21267.5775504693,24927.0307287838,NA,NA
"Afr_penguin","s1","global",2013,"census","fit",21783.6033397319,19995.9441602092,23785.0817049479,NA,NA
"Afr_penguin","s1","global",2014,"census","fit",23286.5505935473,21391.0490537862,25424.2526772273,NA,NA
"Afr_penguin","s1","global",2015,"census","fit",23646.4350434422,21807.7408855687,25644.8774013422,NA,NA
"Afr_penguin","s1","global",2016,"census","fit",22123.332037974,19648.0580659949,25181.3484098898,NA,NA
"Afr_penguin","s1","global",2017,"census","fit",21153.2430245554,18126.7729808756,25546.0804042498,NA,NA
"Afr_penguin","s1","global",2018,"census","prj",21880.3832113599,18706.5684165599,26555.7751773961,NA,NA
"Afr_penguin","s1","Dassen.Island",1979,"census","fit",12554.0714975766,10053.9596357265,15550.4658293207,9191.71095374393,17117.5005175072
"Afr_penguin","s1","Dassen.Island",1980,"census","fit",11164.3598054959,5964.08265325111,21106.8741292485,5779.66937339945,22042.7761054335
"Afr_penguin","s1","Dassen.Island",1981,"census","fit",9943.13525493697,4434.62139353127,21777.136780789,4317.13821823352,22577.8355931343
"Afr_penguin","s1","Dassen.Island",1982,"census","fit",8828.0341949111,3639.36824910249,21212.0001978696,3525.17219422062,21728.1483236619
"Afr_penguin","s1","Dassen.Island",1983,"census","fit",7757.54012326874,3095.11815266708,19508.2697248092,2991.28995826779,19759.8680645928
"Afr_penguin","s1","Dassen.Island",1984,"census","fit",6845.11426195255,2843.56201771944,16815.3323673696,2796.86551183131,17164.8555341558
"Afr_penguin","s1","Dassen.Island",1985,"census","fit",6063.38154585151,2687.98648392006,13835.6603484279,2612.42834932991,14263.0865225675
"Afr_penguin","s1","Dassen.Island",1986,"census","fit",5413.97533195533,2880.70095436483,10219.4991364976,2791.92745968933,10689.2666679485
"Afr_penguin","s1","Dassen.Island",1987,"census","fit",4807.62369785143,3888.40492281639,5968.29420139845,3539.61700824049,6583.78193619203
"Afr_penguin","s1","Dassen.Island",1988,"census","fit",6277.33186604468,3883.13222602301,10215.1427759806,3669.51967329867,10683.0051921954
"Afr_penguin","s1","Dassen.Island",1989,"census","fit",8216.3888599175,6657.63025369976,10172.4308239063,6024.76292889256,11109.6104635384
"Afr_penguin","s1","Dassen.Island",1990,"census","fit",8504.28855407256,5279.30836760605,13674.2508047246,5051.65537118823,14369.6067776187
"Afr_penguin","s1","Dassen.Island",1991,"census","fit",8812.51563377016,7202.57802871949,10806.8865074641,6528.60865249137,11888.8615893523
"Afr_penguin","s1","Dassen.Island",1992,"census","fit",7646.43586001461,6257.8145473038,9361.44745251498,5684.4360467405,10327.9480222667
"Afr_penguin","s1","Dassen.Island",1993,"census","fit",7413.35942700961,6069.22659867643,9089.23802368865,5494.75695371372,10114.8618555363
"Afr_penguin","s1","Dassen.Island",1994,"census","fit",9203.47640260207,7528.91206145516,11224.883897485,6819.87424590822,12402.6671023926
"Afr_penguin","s1","Dassen.Island",1995,"census","fit",9712.53018037248,7898.61467230915,11902.8657564257,7184.14751682156,13102.1414917372
"Afr_penguin","s1","Dassen.Island",1996,"census","fit",9473.64389322566,7712.26515910143,11577.3630510297,6966.34834078004,12840.6710128704
"Afr_penguin","s1","Dassen.Island",1997,"census","fit",8926.94473124402,7318.3217849264,10941.7823571558,6640.43982750257,12087.9083922941
"Afr_penguin","s1","Dassen.Island",1998,"census","fit",11024.1288555098,9000.9427753958,13555.9269830338,8144.38635379701,14882.1738677153
"Afr_penguin","s1","Dassen.Island",1999,"census","fit",14860.0954268245,12133.1510256235,18216.9914384004,10988.4917324203,20255.968421961
"Afr_penguin","s1","Dassen.Island",2000,"census","fit",17169.5424708809,14014.5372831417,20933.4346622201,12670.9321738262,23027.1895379412
"Afr_penguin","s1","Dassen.Island",2001,"census","fit",21035.7844125137,17210.5216413001,25736.0446628606,15582.6542829214,28432.8348630136
"Afr_penguin","s1","Dassen.Island",2002,"census","fit",22276.934959836,18242.2937974614,27231.7353722242,16417.3511639687,29967.7263397192
"Afr_penguin","s1","Dassen.Island",2003,"census","fit",20756.123032498,16908.7366494365,25425.4186633207,15323.6948255701,27943.8364078225
"Afr_penguin","s1","Dassen.Island",2004,"census","fit",24131.6052769331,19698.718574913,29350.8356500406,17818.6086112492,32394.6558289677
"Afr_penguin","s1","Dassen.Island",2005,"census","fit",21772.41045407,17739.8805711575,26599.4955008745,16136.1872923968,29171.3881976309
"Afr_penguin","s1","Dassen.Island",2006,"census","fit",13703.4885674584,11198.1100474633,16781.2561906316,10192.2767636644,18695.020972296
"Afr_penguin","s1","Dassen.Island",2007,"census","fit",11214.7646480112,9131.02721367241,13762.5665360969,8289.11350478739,15081.6849550728
"Afr_penguin","s1","Dassen.Island",2008,"census","fit",6031.41627950648,4950.6264236238,7370.95817549165,4502.16975958657,8227.09100441515
"Afr_penguin","s1","Dassen.Island",2009,"census","fit",5197.67834334455,4255.26354663936,6356.51323119967,3848.31591038302,7000.14929732391
"Afr_penguin","s1","Dassen.Island",2010,"census","fit",4846.77612796461,3937.40545351708,5944.79915755618,3563.8144484027,6566.01445232526
"Afr_penguin","s1","Dassen.Island",2011,"census","fit",3842.33665102742,3141.43196053772,4688.19020526875,2827.46817723142,5136.7614476565
"Afr_penguin","s1","Dassen.Island",2012,"census","fit",2759.57045001102,2260.25666775156,3375.03968051948,2046.70788894158,3736.46898121272
"Afr_penguin","s1","Dassen.Island",2013,"census","fit",2586.31804553294,2097.87153910226,3184.69001971335,1912.69809716821,3498.82815777395
"Afr_penguin","s1","Dassen.Island",2014,"census","fit",2078.82096174031,1698.18323450974,2546.12209614593,1536.47143488283,2816.73601459814
"Afr_penguin","s1","Dassen.Island",2015,"census","fit",2108.86424582004,1721.82382403959,2577.38682782248,1566.14992170981,2849.20305077165
"Afr_penguin","s1","Dassen.Island",2016,"census","fit",1889.39931700173,1554.77182650685,2318.0638570373,1407.81477911226,2584.01038845343
"Afr_penguin","s1","Dassen.Island",2017,"census","fit",1909.01231340192,1546.07975620497,2344.78225384953,1395.0125794112,2574.82429449067
"Afr_penguin","s1","Dassen.Island",2018,"census","prj",1816.01351447435,1463.80383365974,2243.44890375124,1419.04652639324,2322.06367623704
"Afr_penguin","s1","Robben.Island",1979,"census","fit",7.62728657832602,3.42379742353892,17.2103001891224,3.31703922231542,17.6174063838271
"Afr_penguin","s1","Robben.Island",1980,"census","fit",8.10554064810797,3.60983471442654,18.7484482099851,3.4991672506183,19.2598544770755
"Afr_penguin","s1","Robben.Island",1981,"census","fit",8.74127437413726,4.01301025975104,18.7432136950378,3.8762077670043,19.4157052807226
"Afr_penguin","s1","Robben.Island",1982,"census","fit",9.32415610700859,5.04188238929068,17.3836750439196,4.88370398333027,18.1486303020106
"Afr_penguin","s1","Robben.Island",1983,"census","fit",9.97763070693514,8.09658353260188,12.4035311245651,7.37757702139268,13.6175304572981
"Afr_penguin","s1","Robben.Island",1984,"census","fit",25.1647910279474,20.6129334667519,30.930070301121,18.7422775979336,34.1172762973801
"Afr_penguin","s1","Robben.Island",1985,"census","fit",96.9769231152736,78.9719068608821,118.694823211794,71.7936860025047,130.004917262141
"Afr_penguin","s1","Robben.Island",1986,"census","fit",224.012802818724,183.649286172078,273.379394432968,165.25236967158,302.065937372141
"Afr_penguin","s1","Robben.Island",1987,"census","fit",465.421786739479,380.313528535891,572.161345287497,344.739110436068,627.957679719308
"Afr_penguin","s1","Robben.Island",1988,"census","fit",803.126099806899,655.19447696144,977.556216727851,593.481241246924,1085.76574745663
"Afr_penguin","s1","Robben.Island",1989,"census","fit",861.407992350131,706.041045540727,1051.13572515924,638.592844373537,1164.42318666846
"Afr_penguin","s1","Robben.Island",1990,"census","fit",1272.36152839287,1045.27069103266,1553.47695316085,943.779478884818,1708.5294120742
"Afr_penguin","s1","Robben.Island",1991,"census","fit",1823.2078729675,1491.76680808932,2225.24849810678,1350.91137664353,2476.9389072243
"Afr_penguin","s1","Robben.Island",1992,"census","fit",2022.27118894244,1649.94904386678,2475.84541091556,1490.36523906262,2746.43407358315
"Afr_penguin","s1","Robben.Island",1993,"census","fit",2204.20287721468,1815.77898170627,2694.06260258976,1644.6999374681,2982.91488118765
"Afr_penguin","s1","Robben.Island",1994,"census","fit",2694.03253087643,2199.56119513054,3302.16888081604,1999.03757435112,3622.26971138166
"Afr_penguin","s1","Robben.Island",1995,"census","fit",2382.05979843474,1951.21902133262,2930.93339826769,1771.24991717518,3216.63871032892
"Afr_penguin","s1","Robben.Island",1996,"census","fit",3033.28572107219,2479.7737339754,3721.45219160493,2255.05182599395,4079.636791634
"Afr_penguin","s1","Robben.Island",1997,"census","fit",3329.07424214579,2722.89309876332,4071.86641639806,2472.50949184235,4533.52155614101
"Afr_penguin","s1","Robben.Island",1998,"census","fit",3533.7380725166,2901.57856532358,4318.45699817669,2627.0107283407,4755.6265047469
"Afr_penguin","s1","Robben.Island",1999,"census","fit",4391.63146350649,3592.81973362132,5370.45077588619,3241.24972879626,5854.36536075407
"Afr_penguin","s1","Robben.Island",2000,"census","fit",5377.60486399872,4401.83084670849,6612.18248549139,4006.64903057093,7317.31051870084
"Afr_penguin","s1","Robben.Island",2001,"census","fit",6350.17943669152,5192.17041522921,7760.0323411601,4709.22712299211,8574.70821087738
"Afr_penguin","s1","Robben.Island",2002,"census","fit",6932.96203401041,5666.05955678665,8473.04423680923,5145.30555005699,9396.98722805563
"Afr_penguin","s1","Robben.Island",2003,"census","fit",6193.98341709307,5090.41921989213,7600.68502547706,4610.89208939461,8329.80575080353
"Afr_penguin","s1","Robben.Island",2004,"census","fit",7571.11213907865,6173.52851443027,9258.09149307057,5601.80347486394,10203.9437686161
"Afr_penguin","s1","Robben.Island",2005,"census","fit",7058.63070820344,5767.68560865963,8602.8998576,5205.91982208814,9525.57961989267
"Afr_penguin","s1","Robben.Island",2006,"census","fit",5951.62608625638,4885.78400381997,7340.46193256209,4444.67151436412,8033.66666321906
"Afr_penguin","s1","Robben.Island",2007,"census","fit",5740.87576939562,4673.40124193981,7011.35021316292,4235.46256624949,7729.43219826717
"Afr_penguin","s1","Robben.Island",2008,"census","fit",4136.63757742888,3388.91719573495,5059.915612477,3064.09223109606,5629.44148868711
"Afr_penguin","s1","Robben.Island",2009,"census","fit",2562.69457851843,2090.76488427894,3134.38314332649,1908.56410143326,3459.85632280158
"Afr_penguin","s1","Robben.Island",2010,"census","fit",2535.67186781767,2063.28249023607,3095.49936235845,1884.2872578248,3448.39125647454
"Afr_penguin","s1","Robben.Island",2011,"census","fit",1855.51453181314,1521.91728954317,2273.88221656288,1385.01356017223,2510.4130150094
"Afr_penguin","s1","Robben.Island",2012,"census","fit",1653.54151571431,1355.53117670916,2013.72665232211,1231.42981715887,2229.9357904838
"Afr_penguin","s1","Robben.Island",2013,"census","fit",1357.77364104824,1110.47851121638,1653.70008156996,1004.98220512973,1829.89042228745
"Afr_penguin","s1","Robben.Island",2014,"census","fit",1061.85459824902,869.123461317566,1303.91667116367,788.616890013544,1442.29215136346
"Afr_penguin","s1","Robben.Island",2015,"census","fit",1212.65643383787,988.793884840562,1477.96243127148,897.987023616173,1629.9791319827
"Afr_penguin","s1","Robben.Island",2016,"census","fit",1349.54810729807,1093.40164750052,1650.63269490339,992.74796856927,1834.0967563424
"Afr_penguin","s1","Robben.Island",2017,"census","fit",1452.47772170977,1177.27466139754,1794.01518349941,1067.94953418777,1975.9743027517
"Afr_penguin","s1","Robben.Island",2018,"census","prj",1667.67410007957,1341.952805391,2075.63494207729,1296.44589388325,2153.4934705953
"Afr_penguin","s1","Boulders",1979,"census","fit",1.53061341003799,0.640281998104613,3.70152695119263,0.619849957528644,3.77300368308605
"Afr_penguin","s1","Boulders",1980,"census","fit",1.62726711143067,0.63868577134302,4.13791634560268,0.621105994752643,4.22601910451655
"Afr_penguin","s1","Boulders",1981,"census","fit",1.70467731787047,0.655563552312569,4.39608046578927,0.640014659868145,4.53470735367611
"Afr_penguin","s1","Boulders",1982,"census","fit",1.80048218513387,0.73049376195786,4.57787279598194,0.702529736259965,4.71914362917367
"Afr_penguin","s1","Boulders",1983,"census","fit",1.90927898394588,0.849296772008209,4.41317420580262,0.82190192970868,4.5387299730853
"Afr_penguin","s1","Boulders",1984,"census","fit",2.01846179061788,1.06725708214565,3.82129011399417,1.02168958301626,3.93961850841997
