"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"r.Dassen.Island",0.068,-0.068,0.202,0.315,0.29
"r.Robben.Island",0.317,0.178,0.457,0.192,0.437
"r.Boulders",0.307,0.174,0.447,0.56,0.411
"r.Stony.Point",0.279,0.143,0.416,0.408,0.22
"r.Dyer.Island",-0.027,-0.159,0.108,0.896,0.153
"r.St.Croix.Island",0.04,-0.094,0.177,0.648,0.157
"r.Bird.Island",0.123,-0.014,0.261,0.993,0.826
"r.Mercury",0.083,-0.052,0.221,0.095,0.062
"r.Ichaboe",0.06,-0.073,0.201,0.886,0.567
"r.Halifax",0.079,-0.059,0.225,0.802,0.547
"r.Possession",0.066,-0.07,0.207,0.259,0.394
"sigma.proc",0.35,0.322,0.39,0.08,0.638
