"yr","Type","estimation","total","total.lcl","total.ucl","Dassen.Island","Robben.Island","Boulders","Stony.Point","Dyer.Island","St.Croix.Island","Bird.Island","Mercury","Ichaboe","Halifax","Possession"
1979,"census","fit",52874.4293895114,46829.6314682499,59747.3839393143,12584.4090041134,7.65860994365992,1.54828895374835,0.772618345863653,22745.784124936,13961.5631288025,554.449943782883,1097.89135139579,772.366740321439,375.134496553969,308.696899025522
1980,"census","fit",52310.3986701665,38853.3001989774,74812.8771857362,11148.7139961497,8.16023573443545,1.65153339131936,0.843783890641441,22029.2656241147,14862.8637166248,565.106687657264,1113.90745832391,776.453686715907,379.541947478332,313.0970189927
1981,"census","fit",52367.551924503,34825.5780573524,82811.1562332635,9800.36007903423,8.79912276045729,1.72798157305446,0.921723083335843,21266.3647592939,15591.7081244386,582.43739297291,1118.55385516616,781.776404067175,386.228073160952,317.966517109433
1982,"census","fit",52172.3085187198,32693.7248208082,86208.2456672078,8719.55878739508,9.33666794860234,1.83322507233611,1.00598013510449,20628.2078807237,16548.3858320353,720.002716786274,1141.45149730878,790.167887120128,391.976654461718,324.566939394948
1983,"census","fit",51743.9749507238,32454.3489585309,84771.1478171785,7740.84295461488,9.87907899884601,1.91630753972118,1.14749884593192,20164.6092014522,17417.100716757,876.280026863129,1148.41895055111,783.02612514153,397.790431798903,328.801625669314
1984,"census","fit",50751.7292083661,33483.6669269588,78188.8200163253,6807.49036625007,25.117364600391,2.03233198937356,4.71255309204298,19295.5083313279,18393.1864032648,1076.62862655222,1166.65615363947,786.162215208299,401.083614285683,333.649329347532
1985,"census","fit",49566.6480510134,37867.4294164994,68002.9292327157,6085.49419696128,97.2416867397838,2.13370305174928,10.9884243691754,18885.6790163323,19346.2516933049,1326.28608781648,1184.18496352618,780.730724439197,405.284078892352,336.369418888406
1986,"census","fit",48408.5363451993,37315.7658253609,66464.4635266541,5408.31024346131,224.260948674673,4.04755402380745,25.5668055668608,18173.6558866481,19427.6549859514,1618.14056297679,1192.73449796989,781.896515059587,408.404271384639,338.281371149319
1987,"census","fit",47257.2466922151,32631.4858932975,73751.00431055,4778.74297524564,466.547191520199,7.60180594313178,35.6403619142828,14915.1774515208,19253.0576077789,1966.37930296692,2101.19212993241,1334.54082151977,656.40628503749,469.070789109653
1988,"census","fit",48906.5635578064,33503.0637375466,79614.3758005537,6263.92275245313,806.19591925808,30.1347112664213,49.3130822883228,12267.8241086109,19332.6337011105,2401.30752600648,2662.72518149478,1747.33316148082,758.948473718688,874.267634074641
1989,"census","fit",49681.3134547883,35576.5106632643,80889.3270031935,8210.68763153716,858.623268673445,38.5106782317625,68.3243980887597,10098.9428543189,19276.4607172245,2938.6575171174,3337.9559287154,2319.27924099097,878.142184705178,786.589476898373
1990,"census","fit",48889.2649057445,35939.9983808977,77683.6894810225,8459.62809196284,1273.24726793199,56.4467320923169,85.6661225426472,8281.34676222639,19373.7785665113,3589.2185060157,3533.32966061822,1982.95801868844,1014.6282328051,708.133210620554
1991,"census","fit",47553.8798199934,35995.0925235351,72676.6097623771,8841.24610560418,1828.70878050875,123.883782447857,75.7125306080457,6345.75231740675,19328.4853271379,3260.07100426501,3556.35970002848,2195.8133830338,846.021331717969,691.552728013112
1992,"census","fit",47156.7600412587,37448.878802673,65215.1322226435,7652.05372353776,2020.16728585777,160.758449100644,56.8711680448597,6816.9421387388,19335.567013355,3587.21874307261,3562.54475061646,2415.90180300523,703.614917347123,676.03461034149
1993,"census","fit",42123.5183477151,37907.8755699944,47087.2614339566,7417.91955535868,2203.26763740711,240.152100153292,41.61223804063,2749.84032049057,19356.8216067303,2430.89326329545,3508.10287251894,2642.20870530459,704.793966672228,722.548355223341
