Year,S.Atl.ICCAT
1971,255.0927
1972,228.6065
1973,219.6796
1974,211.3584
1975,211.5583
1976,219.2445
1977,230.8057
1978,225.8289
1979,224.1092
1980,219.3304
1981,208.4454
1982,211.9617
1983,208.5948
1984,215.9365
1985,217.313
1986,219.848
1987,215.4817
1988,211.7766
1989,198.8299
1990,183.0645
1991,163.6203
1992,153.8467
1993,140.7862
1994,135.9836
1995,125.4031
1996,120.4911
1997,116.8596
1998,121.1805
1999,124.8938
2000,134.664
2001,124.1815
2002,113.9708
2003,118.0293
2004,115.2591
2005,127.1957
2006,134.3147
2007,133.901
2008,130.391
2009,134.0651
2010,137.7725
2011,136.7377
2012,138.5223
2013,145.4268
