"yr","Type","estimation","total","total.lcl","total.ucl"
1971,"relative","fit",244.058987404397,222.381501174159,268.872574921198
1972,"relative","fit",234.122376266115,213.623950342633,256.832372591005
1973,"relative","fit",226.429101833765,206.425571093003,247.788052194992
1974,"relative","fit",221.103184376346,200.037948967747,242.665614604723
1975,"relative","fit",220.016686401198,199.33702436311,242.472361573146
1976,"relative","fit",220.982978375394,200.248154987657,243.939110792964
1977,"relative","fit",222.868493076614,202.863943788696,246.167483532456
1978,"relative","fit",222.308199239377,201.131878711496,244.670272079683
1979,"relative","fit",220.846026038704,200.647649125415,243.243126416798
1980,"relative","fit",217.624652939257,197.155692410244,240.738594308809
1981,"relative","fit",214.317618899755,195.091747247583,235.516009607417
1982,"relative","fit",213.411047743103,193.927902541673,234.429852454382
1983,"relative","fit",212.49885066523,192.9596025674,234.501865145552
1984,"relative","fit",213.256224108661,193.354763059508,235.876911167837
1985,"relative","fit",213.21086424938,193.712531464935,235.471188626577
1986,"relative","fit",211.665840377109,192.251959369994,235.128570149702
1987,"relative","fit",207.620451347009,188.662324697535,230.14019798628
1988,"relative","fit",201.152231640809,183.096677666893,222.909728557267
1989,"relative","fit",190.892867696472,173.94883561007,210.589529256895
1990,"relative","fit",178.602258255974,163.413263672291,196.504980037029
1991,"relative","fit",165.892536875131,150.885531286237,182.450171530294
1992,"relative","fit",154.811743258702,140.398251938772,169.906634661058
1993,"relative","fit",144.715444179529,131.815362329236,159.169153444267
1994,"relative","fit",137.142657769344,124.798976792749,150.273496289374
1995,"relative","fit",130.090498360571,118.545158016841,142.117891323202
1996,"relative","fit",125.277082886877,114.038353262529,136.545993963029
1997,"relative","fit",122.910960312279,111.826871127543,134.444667493698
1998,"relative","fit",123.420717326196,112.490011286325,134.781655563089
1999,"relative","fit",124.615553874051,113.729424430557,136.430498987703
2000,"relative","fit",125.990694158478,114.751341427996,138.093596073916
2001,"relative","fit",123.19171515217,112.517800227186,134.939328004722
2002,"relative","fit",120.453582960372,109.974327504553,131.40036532649
2003,"relative","fit",120.501652017399,110.052894274946,131.528032309453
2004,"relative","fit",121.59143941195,110.828901333818,132.663890680193
2005,"relative","fit",125.861703564389,115.350004267166,137.583779867099
2006,"relative","fit",129.7239422396,118.816951745106,142.096621134283
2007,"relative","fit",131.610751865089,120.474087762011,143.635187182572
2008,"relative","fit",132.378131684562,121.168152242713,144.932738485052
2009,"relative","fit",134.050400411567,122.747489317118,146.411754836452
2010,"relative","fit",135.902205787566,124.468668310457,148.551063408811
2011,"relative","fit",136.782391858321,125.12578476424,149.652836820508
2012,"relative","fit",137.790740258612,125.737265256862,151.58722643577
2013,"relative","fit",138.855445525546,124.061668867578,155.628265568182
2014,"relative","prj",136.991677098595,122.128480164513,153.967044283812
