Year,JAP LL hist,TAI 1st,TAI 2nd,TAI 3rd,USA LL,USA Rec,VEN LL,VEN GIL,VEN Rec,BRA LL,BRA Rec,GHA GIL
1959,0.2777,,,,,,,,,,,
1960,0.2455,,,,,,,,,,,
1961,0.4776,,,,,,,,0.708,,,
1962,0.4321,,,,,,,,0.885,,,
1963,0.3472,,,,,,,,0.531,,,
1964,0.222,,,,,,,,0.354,,,
1965,0.152,,,,,,,,0.354,,,
1966,0.1256,,,,,,,,0.885,,,
1967,0.1218,,,,,,,,0.531,,,
1968,0.147,0.2815,,,,,,,0.531,,,
1969,0.1624,0.2683,,,,,,,0.708,,,
1970,0.131,0.1792,,,,,,,0.708,,,
1971,0.0815,0.1554,,,,,,,0.354,,,
1972,0.0934,0.1465,,,,,,,0.177,,,
1973,0.0724,0.189,,,,,,,0.177,,,
1974,0.1208,0.1129,,,,0.2181,,,0.177,,,
1975,0.0874,0.0706,,,,0.2649,,,0.177,,,
1976,0.0606,0.1471,,,,0.259,,,0.177,,,
1977,0.0698,0.0404,,,,0.3102,,,0.177,,,
1978,0.0738,0.0371,,,,0.2472,,,0.177,0.128349513,,
1979,0.0751,0.0601,,,,0.3238,,,0.177,0.326978087,,
1980,0.0916,0.0555,,,,0.3061,,,0.177,0.276039891,,
1981,0.0814,0.0457,,,,0.2637,,,0.354,0.486822227,,
1982,0.1034,0.0383,,,,0.294,,,0.177,0.426384003,,
1983,0.0926,0.0308,,,,0.3099,,,0.354,0.694243544,,
1984,0.1035,0.0316,,,,0.3202,,,0.708,0.187858458,,
1985,0.1091,0.0247,,,,0.2817,,,0.354,0.129881071,,
1986,0.0756,0.0333,,,,0.2781,,,0.354,0.177973959,,
1987,0.0829,0.0649,,,,0.3444,,,0.354,0.337798046,,
1988,0.08,0.1375,,,,0.302,,,0.177,0.1767628,,
1989,0.0843,0.1229,,,,0.2833,,,0.354,0.256319288,,
1990,0.0655,,0.1239,,,0.2884,,,,0.159393421,,
1991,0.0448,,0.0733,,,0.3497,0.6084,0.1841,0.354,0.134591157,,
1992,0.0458,,0.1064,,,0.3329,0.7551,0.038,0.354,0.142516881,,
1993,0.0599,,0.1044,,0.2144,0.343,0.454,0.2605,0.531,0.271602844,,
1994,0.0629,,0.1177,,0.2087,0.3502,0.917,0.5336,0.354,0.106786083,,
1995,0.059,,0.1134,,0.1919,0.4223,0.5747,0.5235,0.354,0.134127838,,
1996,0.0641,,0.0973,,0.2802,0.4084,0.613,0.377,0.177,0.170209369,0.457065485,
1997,0.0574,,0.0831,,0.2222,0.3502,0.6084,0.5058,0.354,0.225001272,0.347735093,
1998,0.0594,,,0.2013,0.1901,0.4636,0.5562,0.6949,0.354,0.163167365,0.341569672,
1999,,,,0.168,0.2106,0.4808,0.508,0.3977,0.354,0.175580955,0.409764195,
2000,,,,0.1834,0.2029,0.581,0.735,0.4184,0.531,0.23731678,0.305466426,0.4475
2001,,,,0.1586,0.1119,0.4446,0.6057,0.2968,0.708,0.264425664,0.285934199,0.6301
2002,,,,0.1374,0.1749,0.4254,0.4878,0.2753,,0.117812219,0.302696607,0.4326
2003,,,,0.1144,0.118,0.4703,0.2154,0.3297,,0.06589654,0.310686759,0.3089
2004,,,,0.0624,0.1281,0.4026,0.2168,0.3977,,0.225433246,0.339812936,0.14
2005,,,,0.0632,0.2197,0.4194,0.2226,0.3762,,0.200894094,0.764680348,0.2633
2006,,,,0.0765,0.2551,0.4547,0.6945,0.483,,,0.778296943,0.1682
2007,,,,0.082,0.205,0.3914,0.5235,0.5547,,,0.565555336,0.1334
2008,,,,0.072,0.1867,0.4512,0.8242,0.4336,,,0.533741903,0.0473
2009,,,,0.0838,0.1884,0.5028,0.693,0.3035,,,0.71120833,0.0483
2010,,,,0.0702,0.1702,0.4362,,0.5091,,,0.411099983,
2011,,,,0.0593,0.2123,0.4945,,0.2761,,,0.494083533,
2012,,,,0.055,0.1815,0.6799,,0.3952,,,0.480240609,
2013,,,,0.102,0.1262,0.4362,,,,,0.276394905,
2014,,,,0.123065498,0.102508475,0.468850103,,,,,0.400341563,
2015,,,,0.067723267,0.173898305,0.505345654,,,,,,
2016,,,,0.078286056,0.122745763,0.551848049,,,,,,
