"yr","Type","estimation","total","total.lcl","total.ucl"
1959,"relative","fit",2.17849518138158,1.34685515749745,3.62628354122787
1960,"relative","fit",2.11343962154872,1.35791062263899,3.3823318578655
1961,"relative","fit",2.06719773710567,1.35131560104081,3.27901775562653
1962,"relative","fit",1.97627228028007,1.31377228003701,3.06185874705065
1963,"relative","fit",1.8046209893817,1.23500661226689,2.69000916245106
1964,"relative","fit",1.62464326394585,1.13938880109223,2.30269403942168
1965,"relative","fit",1.47433494345846,1.03174408639977,2.06415358538041
1966,"relative","fit",1.40228117507037,0.981420676023206,1.97482429854445
1967,"relative","fit",1.36944105715926,0.980092212118246,1.92943869315773
1968,"relative","fit",1.37348399273366,1.00203041081406,1.97144099545877
1969,"relative","fit",1.31014975329609,0.953155048403353,1.86932977468569
1970,"relative","fit",1.17000128688725,0.856463373011018,1.64156819456772
1971,"relative","fit",0.974103190921384,0.720154237841035,1.31632104690425
1972,"relative","fit",0.834988762166327,0.620084382961178,1.11875835669326
1973,"relative","fit",0.741068323317667,0.539507357959035,0.983581157760314
1974,"relative","fit",0.671514003694198,0.498807407934301,0.900474416320357
1975,"relative","fit",0.565365630358395,0.409511179538149,0.761611392514072
1976,"relative","fit",0.505029818156052,0.35862315612022,0.688269369761773
1977,"relative","fit",0.456258181968382,0.315575423229432,0.631453830520805
1978,"relative","fit",0.455122864516048,0.325908244239073,0.62040226937506
1979,"relative","fit",0.506461205797321,0.372636165831262,0.676872467557521
1980,"relative","fit",0.556623857130565,0.411905495967545,0.742337032933362
1981,"relative","fit",0.587541851879806,0.435779654502305,0.797444549709377
1982,"relative","fit",0.583272027212031,0.429273502926345,0.779918475505643
1983,"relative","fit",0.58143871652738,0.426990876911631,0.787957508263391
1984,"relative","fit",0.56629381119227,0.418958871513702,0.764200466553024
1985,"relative","fit",0.550385034781755,0.404123753248397,0.74561818173914
1986,"relative","fit",0.565904157547422,0.417819378027558,0.767615958650265
1987,"relative","fit",0.609203483736053,0.453119841216476,0.828157733693267
1988,"relative","fit",0.609842055485879,0.453908613847163,0.821915869846115
1989,"relative","fit",0.597081267680798,0.440007075388914,0.813464159392501
1990,"relative","fit",0.535697515857402,0.3905804973697,0.720142234596251
1991,"relative","fit",0.500815890918539,0.363469898138697,0.669123028265755
1992,"relative","fit",0.488841409264451,0.34877104986052,0.663509357794699
1993,"relative","fit",0.566004199328887,0.414223392972077,0.762530541222655
1994,"relative","fit",0.634907314818229,0.471039531619374,0.865764586041213
1995,"relative","fit",0.669789869015835,0.498518937516112,0.914373640724746
1996,"relative","fit",0.665642798645734,0.497577790096755,0.905264357516145
1997,"relative","fit",0.658338558858935,0.488942253758012,0.89592044034661
1998,"relative","fit",0.638845186182946,0.466622849627075,0.876060764755119
1999,"relative","fit",0.653250732340966,0.468305211120472,0.919853855219554
2000,"relative","fit",0.656309285725964,0.466134133631348,0.930179292016896
2001,"relative","fit",0.616793695168438,0.435191355847645,0.875370367361331
2002,"relative","fit",0.557278668874214,0.386895566281934,0.793164585594975
2003,"relative","fit",0.495706069746349,0.34068724821148,0.708761737779643
2004,"relative","fit",0.494918951113163,0.340721816328949,0.715149486001895
2005,"relative","fit",0.520360378213078,0.357875516409974,0.757184072934636
2006,"relative","fit",0.532744836721201,0.355942230300672,0.795995056680815
2007,"relative","fit",0.516495785682474,0.343119673067053,0.777102288947254
2008,"relative","fit",0.470817818032033,0.311291113383633,0.706118558981721
2009,"relative","fit",0.44761731462543,0.287469131922529,0.66784507390976
2010,"relative","fit",0.493813990123395,0.321750413941772,0.757154135888228
2011,"relative","fit",0.511575037678997,0.333542889012562,0.784160388147844
2012,"relative","fit",0.522635306181625,0.336816299407561,0.819540119762469
2013,"relative","fit",0.501684730528351,0.317021111474561,0.797630026265539
2014,"relative","fit",0.484850623708235,0.299907768756438,0.788708240139113
2015,"relative","fit",0.474279819460043,0.281359321860955,0.801249188735261
2016,"relative","fit",0.459549682008224,0.255850149584645,0.818638321149425
2017,"relative","prj",0.447345074711284,0.246538293279475,0.803761517976057
