"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"mu.r",-0.014,-0.058,0.046,0.114,0.569
"sigma.proc",0.144,0.082,0.238,0.022,0.388
"q.JAP.LL.hist",1.001,0.941,1.065,0.278,0.434
"q.TAI.1st",1.048,0.811,1.381,0.528,0.876
"q.TAI.2nd",1.665,1.117,2.485,0.368,0.362
"q.USA.LL",1.752,1.248,2.474,0.261,0.054
"q.VEN.LL",1.411,0.939,2.132,0.774,0.38
"q.VEN.GIL",1.379,0.968,1.982,0.625,0.785
"q.VEN.Rec",0.897,0.705,1.144,0.438,0.64
"q.BRA.LL",1.471,1.123,1.931,0.545,0.815
"q.BRA.Rec",1.615,1.083,2.43,0.949,0.07
"q.GHA.GIL",0.998,0.636,1.589,0.577,0.403
