"yr","Type","estimation","total","total.lcl","total.ucl"
1959,"relative","fit",2.14254420411239,1.30541190652132,3.50471016214923
1960,"relative","fit",2.07983334603363,1.33073934945823,3.32449609898091
1961,"relative","fit",2.04074096252449,1.3450008176508,3.15513600641266
1962,"relative","fit",1.95596435226131,1.3078747318834,2.98189771377534
1963,"relative","fit",1.80323848592566,1.25868368441789,2.64621357926552
1964,"relative","fit",1.62047620485258,1.12620032440861,2.29883242013414
1965,"relative","fit",1.47562258889562,1.04294535798723,2.06182608253489
1966,"relative","fit",1.40723089091421,1.00009976519382,1.9638488843664
1967,"relative","fit",1.36966757983433,0.987441590641959,1.91566937608595
1968,"relative","fit",1.36855946290097,1.00017404668711,1.93375022799624
1969,"relative","fit",1.3113392611939,0.943540675286259,1.88163149003667
1970,"relative","fit",1.15851464857053,0.845989389480478,1.65774039834927
1971,"relative","fit",0.972793395718248,0.709197817691365,1.33729840846291
1972,"relative","fit",0.837604487709955,0.605188624189366,1.14255899945784
1973,"relative","fit",0.742643335952884,0.545467375126603,1.00503113957432
1974,"relative","fit",0.67416859521873,0.492334536115969,0.905066116081672
1975,"relative","fit",0.567692219168796,0.408454888007702,0.765921401220748
1976,"relative","fit",0.508230277478088,0.364325880131627,0.691973704266149
1977,"relative","fit",0.461065862977132,0.32847306918775,0.641897590257962
1978,"relative","fit",0.460520815364699,0.328179242982717,0.625965896210809
1979,"relative","fit",0.508369420133029,0.372532960928859,0.678914488747046
1980,"relative","fit",0.555128102850516,0.4122745289352,0.751185000550281
1981,"relative","fit",0.583414779887222,0.427995561465325,0.800516827936662
1982,"relative","fit",0.581388520221973,0.4282655214561,0.794289836882611
1983,"relative","fit",0.578462721369024,0.425511416705104,0.791334365570968
1984,"relative","fit",0.56705870808546,0.417528778999997,0.771050942236807
1985,"relative","fit",0.552569769385999,0.405266041196933,0.745393510199357
1986,"relative","fit",0.569605964340767,0.417596664416299,0.771958396003585
1987,"relative","fit",0.606939815318426,0.45215124463779,0.837908310339805
1988,"relative","fit",0.606262058697252,0.452942408035612,0.824268232152301
1989,"relative","fit",0.594195448029449,0.444694945888337,0.807741310463057
1990,"relative","fit",0.536815758894589,0.39457119910075,0.727476297308482
1991,"relative","fit",0.501001429378065,0.363215079601491,0.67996016575564
1992,"relative","fit",0.4893044220721,0.350498596117855,0.660248830950113
1993,"relative","fit",0.561303545826766,0.416389978564188,0.756707256674225
1994,"relative","fit",0.632095484094738,0.468680516523713,0.862420042405037
1995,"relative","fit",0.666285808182508,0.494646207623158,0.907009742759006
1996,"relative","fit",0.662644500303791,0.49021529738806,0.905861349925739
1997,"relative","fit",0.656385409618643,0.486450477338225,0.897024429837663
1998,"relative","fit",0.639922542507874,0.46252873198358,0.872071025346397
1999,"relative","fit",0.651826936051068,0.464122900368379,0.920152449740176
2000,"relative","fit",0.653021202693758,0.463166467996482,0.943063660230963
2001,"relative","fit",0.612552955895305,0.434721675957157,0.885360448667501
2002,"relative","fit",0.55429972297396,0.390420893663034,0.794768173221837
2003,"relative","fit",0.495157252834772,0.342991109552116,0.717669989961328
2004,"relative","fit",0.494144802984832,0.338789929677683,0.716021728461946
2005,"relative","fit",0.518459499123344,0.355007410593816,0.758240770261406
2006,"relative","fit",0.527784001424517,0.356761324409328,0.785164904465302
2007,"relative","fit",0.512712725706858,0.341927865545396,0.772860963218906
2008,"relative","fit",0.469690111164054,0.310464315069014,0.702065167019989
2009,"relative","fit",0.446477157733982,0.294249371476348,0.665101478887112
2010,"relative","fit",0.492091633936537,0.317954601942805,0.747118546529011
2011,"relative","fit",0.507429080855468,0.326821554022871,0.783372562816891
2012,"relative","fit",0.518648892851815,0.331840430829048,0.816013472655052
2013,"relative","fit",0.49512117768867,0.312165554374747,0.780639038295383
2014,"relative","fit",0.48131768801068,0.297654413670104,0.791216602516889
2015,"relative","fit",0.472071964696778,0.280014903171874,0.806868960456117
2016,"relative","fit",0.455813031436225,0.256143940892299,0.821943370334001
2017,"relative","prj",0.443819575067682,0.246651915196024,0.808512062483656
