"Year","ICCAT"
1959,82367.6914493474
1960,82319.5206506236
1961,81089.1572375637
1962,78401.8172253484
1963,71914.445001819
1964,63334.72893205
1965,56001.4354006817
1966,51157.7306864785
1967,48983.0097403885
1968,48631.5661165018
1969,46976.1690017484
1970,43517.3169286421
1971,39759.2220209412
1972,36414.5800757821
1973,34358.1235724225
1974,32238.8029200179
1975,29702.3216396213
1976,27436.8697941808
1977,26641.84604869
1978,26638.2015925774
1979,27982.3689625425
1980,29543.298132023
1981,30595.8811654619
1982,31186.0696106226
1983,30893.8898760375
1984,30851.7525296453
1985,29901.5632578597
1986,28934.9520743334
1987,29534.5370862166
1988,29429.6906562343
1989,28828.3768558267
1990,26402.119956993
1991,24360.5811712305
1992,23866.3589217023
1993,25574.3575096536
1994,27330.378416232
1995,27930.5107552364
1996,28439.5028261117
1997,27535.4417108751
1998,26129.3235141276
1999,24886.3743482387
2000,23476.7605021306
2001,21415.0987903893
2002,20152.1882910986
2003,19323.8502308932
2004,18876.3586507368
2005,20018.3511082641
2006,20705.1441880366
2007,21510.7162244227
2008,20780.2513452026
2009,20143.0328004157
2010,20214.5667332934
2011,20266.6246370835
2012,20312.7503413035
2013,19999.0432809582
2014,20483.9648797932
2015,20668.1478993299
2016,21351.1272774358
