"yr","Type","estimation","total","total.lcl","total.ucl"
1959,"relative","fit",79887.726726822,66539.3344926891,97216.9152655732
1960,"relative","fit",77640.6920135796,66063.8293396243,92255.7043022882
1961,"relative","fit",74706.3347393647,64148.3168762874,88073.9296603041
1962,"relative","fit",71206.0104531973,61827.0356095881,83495.836233438
1963,"relative","fit",66872.1909326155,57824.8248215977,78269.6352978231
1964,"relative","fit",62427.9571534527,53784.6022180524,72642.0793810651
1965,"relative","fit",58263.6914080605,49853.8970639175,67785.8229274327
1966,"relative","fit",54389.2981977405,46545.6369055528,63209.2333675296
1967,"relative","fit",51126.18010232,43616.0029519565,59461.1369901552
1968,"relative","fit",48364.0220485965,41371.4207457512,56129.2360795188
1969,"relative","fit",45599.3766798452,39262.3101760324,52951.8155593941
1970,"relative","fit",42859.2482549109,36679.4063974805,49884.173943483
1971,"relative","fit",40256.5812561875,34154.9132945207,46935.1209159335
1972,"relative","fit",37912.1555149914,32247.9126234326,44053.2398317802
1973,"relative","fit",35752.9226390993,30431.6182566587,41537.2338406231
1974,"relative","fit",33960.4495012216,28926.7408003516,39386.8073134317
1975,"relative","fit",32324.4370294461,27250.246180596,37630.6712944272
1976,"relative","fit",31111.0033961687,26064.329003686,36214.2319963744
1977,"relative","fit",30263.0242849727,25562.5977771003,35239.4738804411
1978,"relative","fit",29775.6938468345,25277.43542943,34680.7091375742
1979,"relative","fit",29736.777758981,25456.5652855571,34490.3589786898
1980,"relative","fit",29827.2471869236,25704.5350166735,34747.2139672709
1981,"relative","fit",30057.773826699,25962.7815695479,34814.6579750956
1982,"relative","fit",30093.6731618531,25988.6059092505,34938.8595677985
1983,"relative","fit",29968.6916805898,25988.6911534983,34907.8287369079
1984,"relative","fit",29766.1337021016,25733.6350846439,34353.421528058
1985,"relative","fit",29482.0767326139,25524.1290374354,34097.524110662
1986,"relative","fit",29107.579820429,25180.4713754766,33660.6438889785
1987,"relative","fit",28754.2913778132,24905.4519128058,33369.1593241964
1988,"relative","fit",28338.0843228013,24556.4865370758,32857.7436599532
1989,"relative","fit",27769.122341789,24106.5938150367,32147.9917109352
1990,"relative","fit",27066.4970769166,23436.5028063459,31189.2608804664
1991,"relative","fit",26509.8511550567,22950.8910539007,30372.2510158726
1992,"relative","fit",26209.3675522045,22631.4349004834,30030.0794010754
1993,"relative","fit",26258.4603007805,22744.8909901724,30336.9190150805
1994,"relative","fit",26446.9782160985,23077.6400570358,30472.3818619782
1995,"relative","fit",26487.0471200924,23134.2958818776,30658.8050827864
1996,"relative","fit",26342.8415634984,23002.1210271403,30397.7083057783
1997,"relative","fit",25832.9567265076,22487.7774540444,29865.4987654771
1998,"relative","fit",25044.2101361385,21837.9899733725,28977.7532939879
1999,"relative","fit",24222.6228698663,21081.53411763,27976.644525813
2000,"relative","fit",23255.5663813469,20159.9413492911,26893.2663455249
2001,"relative","fit",22345.7886023647,19201.876082226,25824.8290903281
2002,"relative","fit",21580.2761715946,18526.6128148743,24852.5080823627
2003,"relative","fit",21011.7784298558,18063.627091807,24371.8580550347
2004,"relative","fit",20733.2434468684,17842.5526745337,24043.8602308851
2005,"relative","fit",20660.8597838687,17802.6537559447,23951.1432058808
2006,"relative","fit",20631.162028646,17767.4632985821,23983.9802280797
2007,"relative","fit",20625.1835406919,17720.9383048488,23962.2029395905
2008,"relative","fit",20475.043719454,17563.8241882211,23964.2037248617
2009,"relative","fit",20351.0769521077,17408.2503192302,23871.7323330071
2010,"relative","fit",20244.5671271602,17292.7439225211,23707.2997587375
2011,"relative","fit",20083.4069441311,17069.1315121141,23644.1127197053
2012,"relative","fit",19933.3324310086,16938.2048123004,23653.7744765845
2013,"relative","fit",19774.3015336104,16674.1800761605,23656.1348950725
2014,"relative","fit",19623.2114776222,16414.3000013742,23590.4430135318
2015,"relative","fit",19394.1692679518,15925.4269231041,23735.1779785849
2016,"relative","fit",19030.6047122008,15276.6449400036,23881.818447214
2017,"relative","prj",18551.8970274144,14837.8437967144,23385.337674609
