Year,Port.Charcot,Orne.Islands,Georges.Point ,Cape.Shirreff,Half.Moon.Island,Ardley.Island,Barton.Peninsula,Waterboat.Point,Spigot.Peak,Entrance.Point,Hanh.Point,Pinguino.Island,Selvick.Cove,Llano.Point,Patelnia.Point,Tetrad.Islands
1979,,,,,,180,,,,,,,,314,2252,
1980,,,,,,244,6298,,,,,,,349,1498,
1981,,,,,,141,,,,,,,,240,1738,
1982,,,,,,,,,3000,,,,,280,,
1983,,340,300,,,91,,,,,,500,,,,180
1984,,,,,,110,2500,,,,,,,259,,
1985,3,,,,,39,2750,,,,,,,282,,
1986,,860,800,,,,1000,,,,,,,218,,
1987,,,,,2500,,,,,,,,,,,
1988,,,600,,,,,,,,,,,58,1645,
1989,,,,,,,1161,28,,,,,,81,1563,
1990,3,,,,1747,,,,,,,,,37,1636,
1991,,,,,,,,,,,,,,,,
1992,,521,447,,,,2000,,1907,,,,,22,1810,
1993,,,,,,,,,,,,,,,,
1994,,420,414,,,45,2924,8,,,1037,,,4,1429,
1995,,431,,,,49,,,,,1281,,,3,1460,
1996,,342,383,6907,3342,72,,,,,1158,,,2,1343,
1997,,423,397,7617,,33,,8,,,1138,1553,,,,
1998,,370,327,7581,3312,43,,4,,,,,,,,
1999,,421,,7744,,34,,,,720,1061,,,,,
2000,12,,356,7212,,26,3117,,,,,,,,,
2001,24,396,,6606,,22,3008,,,,,,,,,
2002,,106,,5868,,35,,,,,,,,,,
2003,,338,,5636,,29,,,,,,,,,,
2004,,,269,4907,,13,,1,,,759,,,,,
2005,9,350,246,4849,,9,,,,566,,,,,,
2006,,,260,4544,,,2961,,,902,,,,,,
2007,11,249,213,3032,1732,,2747,,814,,,,133,,,
2008,17,299,256,4026,2023,,2632,4,,,,,,,,
2009,20,309,232,4339,,,2572,,707,,,,146,,,
2010,25,253,139,4127,2036,,2612,2,450,,593,2763,,,,
2011,,,193,,2161,,3161,,501,551,,,183,,,
2012,22,310,215,,2094,,3332,5,574,696,,3142,144,,,194
2013,18,293,229,,1818,,3157,3,705,726,646,3173,109,,,258
2014,25,313,232,,1937,15,,3,1097,643,,3872,220,,,276
2015,,353,207,,2129,,,3,1017,,,3657,118,,,321
2016,16,298,189,,1972,,,2,980,986,,3571,81,,,361
2017,18,,,,,,,,,856,,3399,63,,,285
