-----------------------------------------------------
Inference for Bugs model at "C:/Work/Research/Github/JARAbeta//Chin_penguin/output1/jara.jags", fit using jags,
 2 chains, each with 1100 iterations (first 1000 discarded)
 n.sims = 200 iterations saved
               mu.vect  sd.vect      2.5%       25%       50%       75%     97.5%  Rhat n.eff
N.est[1,1]       2.836    1.132     1.239     2.098     2.632     3.471     5.124 1.007   200
N.est[2,1]       2.859    1.235     1.219     2.109     2.641     3.340     6.447 1.015   200
N.est[3,1]       2.963    1.351     1.276     2.141     2.701     3.482     6.407 1.067   200
N.est[4,1]       3.028    1.173     1.392     2.189     2.878     3.637     5.895 1.040   200
N.est[5,1]       3.058    1.036     1.469     2.370     2.950     3.622     5.403 1.018   200
N.est[6,1]       3.057    0.835     1.848     2.419     2.950     3.468     4.979 1.002   200
N.est[7,1]       3.081    0.496     2.263     2.719     3.054     3.344     4.093 1.026   170
N.est[8,1]       3.137    0.788     1.911     2.574     2.972     3.652     4.752 1.011   200
N.est[9,1]       3.144    0.874     1.784     2.553     2.963     3.667     5.377 1.010   200
N.est[10,1]      3.200    0.898     1.921     2.579     3.091     3.716     5.265 1.007   130
N.est[11,1]      3.204    0.778     1.982     2.642     3.082     3.712     5.040 1.022    62
N.est[12,1]      3.226    0.456     2.431     2.900     3.206     3.519     4.154 1.064    36
N.est[13,1]      3.871    0.955     2.233     3.265     3.781     4.418     5.812 1.010   140
N.est[14,1]      4.575    1.448     2.394     3.720     4.301     5.139     8.096 1.008   200
N.est[15,1]      5.395    2.077     2.547     3.960     4.943     6.390    11.002 1.019   180
N.est[16,1]      6.305    2.644     2.550     4.273     5.827     7.762    12.251 1.023   200
N.est[17,1]      7.071    2.955     3.033     4.857     6.602     8.554    14.155 1.024   200
N.est[18,1]      7.973    3.171     3.608     5.708     7.323     9.712    15.131 1.008   200
N.est[19,1]      9.047    3.067     4.557     6.909     8.368    11.029    15.782 1.023   140
N.est[20,1]     10.155    2.918     5.177     8.261     9.582    11.780    16.215 1.021    98
N.est[21,1]     11.490    3.107     6.795     9.257    11.195    13.190    17.507 0.998   200
N.est[22,1]     13.238    1.787    10.317    12.069    13.065    14.170    17.346 1.008   200
N.est[23,1]     19.029    2.887    14.050    17.064    19.063    20.929    24.751 1.401     7
N.est[24,1]     16.385    3.908    10.949    13.618    15.898    18.632    24.358 1.050    33
N.est[25,1]     14.082    3.777     8.523    11.354    13.590    16.043    23.202 1.005   170
N.est[26,1]     12.290    3.077     7.495    10.013    11.788    13.959    19.539 1.004   200
N.est[27,1]     10.365    1.635     7.964     9.137    10.056    11.371    13.673 1.120    17
N.est[28,1]     11.382    2.560     7.034     9.376    11.199    13.153    16.834 1.095    21
N.est[29,1]     12.178    1.748     9.513    10.954    11.963    13.361    16.324 1.090    22
N.est[30,1]     16.456    2.030    12.717    15.161    16.259    18.024    20.142 1.056    42
N.est[31,1]     19.621    2.465    15.133    17.956    19.478    21.026    24.895 1.013   140
N.est[32,1]     23.078    2.953    17.497    21.165    23.050    24.807    28.718 1.093    23
N.est[33,1]     22.834    4.207    16.068    20.196    22.336    25.140    31.979 1.013    90
N.est[34,1]     21.584    2.727    17.473    19.771    21.167    23.209    27.516 1.012   140
N.est[35,1]     19.512    2.249    15.557    18.031    19.324    20.883    24.572 1.025    56
N.est[36,1]     22.600    3.294    16.782    20.395    22.512    24.696    30.010 1.275     9
N.est[37,1]     20.000    3.998    13.848    17.006    19.617    22.356    29.469 1.022   120
N.est[38,1]     17.445    2.403    13.662    15.622    17.209    18.784    22.940 1.112    18
N.est[39,1]     18.430    2.729    13.658    16.737    18.261    19.946    23.983 1.042    56
N.est[40,1]     19.406    2.968    14.242    17.538    19.227    21.012    25.507 1.043    55
N.est[1,2]     391.043  151.789   180.009   287.982   360.640   466.692   742.967 0.997   200
N.est[2,2]     389.878  138.373   200.461   289.536   366.953   465.930   704.782 0.999   200
N.est[3,2]     385.293  127.236   196.861   308.524   365.384   440.089   740.077 1.029    90
N.est[4,2]     385.713   97.241   242.488   313.122   371.981   444.811   609.340 1.011   110
N.est[5,2]     380.730   55.042   282.710   341.181   378.457   413.470   489.241 1.079    24
N.est[6,2]     492.286  108.545   307.383   419.021   479.105   557.783   712.367 1.012   200
N.est[7,2]     618.970  151.244   395.338   513.903   595.834   695.244   996.392 1.050   200
N.est[8,2]     761.066  113.635   556.627   678.742   757.852   852.813   965.262 1.151    15
N.est[9,2]     724.661  202.523   458.727   578.874   676.639   818.378  1236.172 1.001   200
N.est[10,2]    675.496  221.071   391.242   514.724   625.822   772.616  1260.883 1.020   110
N.est[11,2]    637.044  231.374   335.422   472.021   596.324   741.402  1233.537 1.012   200
N.est[12,2]    590.480  174.497   341.107   469.141   552.266   675.292   988.851 1.039    47
N.est[13,2]    534.152  126.768   330.314   448.210   513.566   610.053   821.263 1.036    57
N.est[14,2]    496.478   64.996   383.544   457.500   493.195   542.407   631.944 1.006   200
N.est[15,2]    467.925   91.121   299.952   406.817   454.297   517.396   651.603 1.022   200
N.est[16,2]    435.550   54.421   334.002   401.207   435.897   463.716   556.961 1.016   110
N.est[17,2]    423.338   53.165   328.626   386.579   421.857   456.585   525.936 1.017   160
