"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"mean.r.1",0.078,0.016,0.144,0.006,0.345
"mean.r.2",0.022,-0.054,0.093,0.348,0.377
"mean.r.3",0.014,-0.058,0.097,0.852,0.112
"mean.r.4",0.012,-0.086,0.108,0.449,0.596
"mean.r.5",0.021,-0.053,0.089,0.841,0.186
"mean.r.6",-0.047,-0.123,0.033,0.892,0.317
"mean.r.7",0.011,-0.059,0.094,0.036,0.112
"mean.r.8",-0.055,-0.136,0.019,0.789,0.362
"mean.r.9",-0.002,-0.089,0.066,0.833,0.847
"mean.r.10",0.034,-0.056,0.099,0.04,0.568
"mean.r.11",0.015,-0.075,0.089,0.434,0.387
"mean.r.12",0.077,0.011,0.143,0.292,0.344
"mean.r.13",0.006,-0.075,0.091,0.476,0.804
"mean.r.14",-0.275,-0.374,-0.128,0.879,0.592
"mean.r.15",0.005,-0.123,0.115,0.291,0.668
"mean.r.16",0.045,-0.025,0.119,0.703,0.193
"sigma",0.227,0.198,0.258,0.421,0.667
