"yr","Type","estimation","total","total.lcl","total.ucl","Port.Charcot","Orne.Islands","Georges.Point","Cape.Shirreff","Half.Moon.Island","Ardley.Island","Barton.Peninsula","Waterboat.Point","Spigot.Peak","Entrance.Point","Hanh.Point","Pinguino.Island","Selvick.Cove","Llano.Point","Patelnia.Point","Tetrad.Islands"
1979,"census","fit",25642.804071539,20068.0859245476,36955.2942837386,2.57686913098477,352.774882690245,336.666032270403,6799.25267845909,2494.48426653607,190.179640716745,5991.97525790928,33.2542333376534,3360.90723217693,756.308430496861,1117.7423199149,464.480838696525,139.987037107602,343.049755802578,2102.68803773558,169.479118362775
1980,"census","fit",25208.0254683354,19229.8727257985,38411.4885312497,2.59861348452555,377.195057109386,337.973500538374,6851.98358217997,2463.63770970911,201.62233146319,5808.21065487299,33.5343663981042,3221.55832744635,766.524850723851,1093.59092196675,478.571244989399,134.862755458042,333.52251046926,1693.9726183679,179.320294206408
1981,"census","fit",24102.345712144,18441.9175338341,36382.0103471388,2.60683368414001,382.840280925821,351.215930125797,6854.08480218729,2364.34359844932,146.703738483437,4749.39024665901,31.7690076216448,3169.73856849498,761.145162526867,1095.78744844212,484.623012119784,140.25244973565,274.450713874435,1755.16195683628,176.069767969219
1982,"census","fit",22823.5673963707,16991.8428591279,35251.3079312426,2.79624153624799,389.838969990197,340.584210338701,6992.63164372966,2371.83057972892,122.927133636833,3788.80811134952,28.8755616411091,2919.80006464147,722.063707691977,1125.7676531651,494.063993894853,133.921130183277,269.95120879396,1726.38587860125,178.73652282684
1983,"census","fit",21682.7009709231,15586.8690553756,32627.2737661199,2.78172224806221,375.867720622948,339.846502723105,6634.43227660487,2366.42732879039,96.6553974023363,3018.27099317592,27.9968682190541,2887.35057579441,753.199956771128,1066.07211223724,502.980382421629,135.669784761608,256.935602678005,1728.08081201291,181.342795057438
1984,"census","fit",21202.7844641651,15656.2776254232,34019.5328767402,2.99041279349821,480.781627078449,422.338308631947,6724.57824693362,2346.47394125908,88.2946103177387,2538.77776141298,28.3177553567061,2729.3575577746,767.867097119766,1070.18547081206,561.738594597104,127.199150906852,255.515444806163,1734.74867132218,178.743179068737
1985,"census","fit",21269.2853145587,15853.1828077027,34076.16949617,2.94360928241456,587.195552521792,541.960484293008,7143.09979122671,2415.29123183808,51.4139783016235,2237.32689834741,28.2002983660728,2577.74820904647,749.436858780811,1069.75885136657,617.427691224662,131.223260423312,247.258979987255,1733.39825317357,180.168502937889
1986,"census","fit",21068.1007923803,15092.5870257336,30949.339731044,2.91940396806599,735.662032236658,682.085065465529,7667.26549067197,2514.92566776642,52.4700002724215,1325.84037405854,27.5364966735847,2467.23309367856,777.819380771894,1106.82428425767,656.789877063699,131.380957900674,192.333225421595,1685.39728131799,182.353455419482
1987,"census","fit",20492.2128336121,14893.7773193046,34593.7972507202,3.15413396675618,692.145881486314,639.453961196617,7501.90753841631,2467.82674861972,50.8398885971983,1276.65186054894,27.4609174882582,2462.55542776006,745.693377162277,1153.91820715635,749.06998522748,130.462167080428,117.439995909887,1669.71478069055,192.664498187051
1988,"census","fit",19914.302214226,14184.8800011733,32976.8663125986,3.12592530254079,642.068175591044,595.199689399072,7234.91213354418,2339.07516815124,50.4557001922279,1269.52081919826,26.7109876398035,2280.23435299403,768.346062802638,1067.58980709357,759.920666244475,131.708617665363,73.4609748068835,1620.22345440035,181.352265563056
1989,"census","fit",19364.1407447343,13695.1020966946,32303.1023328915,3.21318206646121,621.98038308674,556.382674844873,7102.20127341794,2078.35841282628,50.2518038933327,1273.06922973038,24.9078836178378,2171.63195165129,826.389503993393,1091.70736470242,875.525583986714,131.435595162151,67.0916880877594,1581.44871316981,190.445117820288
1990,"census","fit",19049.1642220062,14416.976757849,31596.7220794274,3.27183793702476,579.418724230366,528.64561181982,6863.33727097311,1878.33691688781,49.1751511656503,1468.16786429529,20.1918148413542,2003.5178827506,836.868588771552,1105.00439399974,936.630129770931,132.093714821907,39.6789177642224,1634.644818126,186.286647631812
1991,"census","fit",19270.2823409944,14663.882953129,31390.1910728137,3.77971284930486,563.437567179633,482.114653736197,6921.04131184567,2058.41031786152,47.9431784559798,1706.23442577883,16.3959948768449,1931.05802891547,816.142638168092,1100.43468181823,975.337184750086,129.349279960665,27.3542204544168,1645.56025272231,192.084617509483
1992,"census","fit",20014.6813794295,15358.7897054109,30490.7722169342,4.36018120122441,509.081524514272,451.195033688887,7377.44869375989,2313.65452143683,46.8202232354921,2022.71881272007,13.2926955088003,1894.72204273263,738.873889075623,1104.94993327502,1030.98950273432,130.776032068956,18.8622872536726,1721.80264756483,185.155721307434
1993,"census","fit",20306.0523481338,15679.8379986321,29628.7098164606,5.19487733934514,466.595255979684,436.391217434313,7021.69131767406,2484.60664006537,46.6945553213517,2355.13557954369,10.4941445406107,1802.62161618435,742.903601865193,1100.29165427651,1085.30470155066,132.794119720632,9.48397286188478,1586.89382079157,188.411867695331
1994,"census","fit",20548.4895601832,16242.2296482776,28487.7294645173,5.68127211063304,421.137730072239,421.53379377785,7209.9396317003,2642.77365728667,46.1431244469588,2742.53919768427,8.50560610383304,1701.03844332675,735.581805659042,1123.51016184701,1215.50926087186,133.129044646076,4.72686404880668,1470.78884928767,192.747960406856
1995,"census","fit",20669.1977054264,16861.455500754,26421.0774810809,6.77634993818822,413.564675150156,404.692404300442,7298.42960453504,2778.21007579546,49.8563886007068,2733.02136060601,7.8611731232201,1618.36239892609,737.415091917403,1194.70740883263,1294.02382831032,130.587106141932,3.01812722412151,1419.49083009088,191.150459433186
1996,"census","fit",20957.5401916263,17796.4658706333,24551.223727544,7.80028516214758,366.937907959885,389.599415298845,7208.40867289041,3190.14097473329,56.022922737032,2812.37272263905,7.41367467667557,1548.56892330921,738.565545250095,1193.3971719659,1426.76867578046,130.891574190456,2.0883908821561,1361.38117122742,195.313795336479
