Year,De Hoop,MZNP,Gamkaberg,Kammanassie,Karoo,Gariep,Kandeboo,Commandodrift,Tsolwane
1985,25,160,19,12,80,7,33,7,33
1986,,,,,,,,,
1987,,128,,,,12,,,
1988,,155,,,,,,,
1989,,181,,,,,,,
1990,30,178,16,19,76,26,60,16,49
1991,,199,,,,,,,
1992,,234,,,,31,84,26,
1993,35,230,17,25,85,44,83,31,54
1994,,268,,,,56,96,40,
1995,55,252,21,22,120,67,83,46,62
1996,,241,,,,64,95,48,
1997,,216,,,,71,,,
1998,54,223,22,31,250,58,120,85,90
1999,,260,23,,,62,108,79,
2000,,,27,,,65,131,97,
2001,,,29,,,72,136,120,
2002,,351,32,,,70,110,151,
2003,,297,34,,,82,143,159,46
2004,,300,38,44,,61,123,156,83
2005,,328,41,47,,,103,147,95
2006,,354,41,,,,,,
2007,,,42,51,,,,103,117
2008,,469,44,53,,,,,
2009,110,596,47,,486,80,,,
2010,,621,,,,,,140,159
2011,,672,,,,,154,,
2012,,745,,,,,,,
2013,,769,34,,,,,136,144
2014,,,,,786,,,,
2015,100,1191,29,80,843,98,236,,
