Year,South.West,South,South.East
1985,6.611159,10.19451,11.003876
1986,6.410921,7.896039,7.786744
1987,6.655746,8.412259,5.886553
1988,7.603439,7.201776,4.882533
1989,6.607622,8.048947,5.20521
1990,7.271699,8.561881,5.730766
1991,7.695078,8.715468,5.859033
1992,7.740534,8.227828,5.620432
1993,7.15456,7.14871,4.544811
1994,7.032683,7.395007,4.598319
1995,6.740621,7.460131,5.402341
1996,6.975575,7.499255,4.910129
1997,6.654024,6.74829,5.295737
1998,7.483875,8.81217,6.008349
1999,8.705389,5.506507,3.828463
2000,6.656348,4.422247,2.914003
2001,5.11723,2.388554,6.017044
2002,6.758206,4.174125,7.186806
2003,4.970456,4.800697,6.25039
2004,5.048582,7.595566,5.565559
2005,3.951279,6.586215,5.546181
2006,5.633087,10.494808,4.190945
2007,7.712634,11.420679,4.059296
2008,4.874409,8.957692,7.043865
2009,5.346429,11.745074,7.018053
2010,3.689629,10.150517,6.629615
2011,3.458213,9.284374,8.801273
2012,3.840725,19.04268,8.345314
2013,5.56920,28.22078,11.47968
