Year,US-Log,US-Obs,JPLL-N,POR-LL-N,ESP-LL-N,CH-TA-LLN
1986,0.137,,,,,
1987,0.084,,,,,
1988,0.083,,,,,
1989,0.08,,,,,
1990,0.082,,,,0.0457,
1991,0.084,,,,0.0456,
1992,0.082,0.199,,,0.047,
1993,0.083,0.165,,,0.0447,
1994,0.082,0.182,0.054876509,,0.044,
1995,0.081,0.169,0.049177638,,0.0409,
1996,0.084,0.46,0.037972993,,0.0389,
1997,0.086,0.225,0.057072392,,0.0389,
1998,0.088,0.3,0.052024738,,0.0394,
1999,0.09,0.237,0.060956171,0.1566803,0.0433,
2000,0.09,0.191,0.04020037,0.1402124,0.0433,
2001,0.092,0.235,0.053152,0.1525461,0.0431,
2002,0.093,0.231,0.059501216,0.1360416,0.0422,
2003,0.094,0.206,0.057458928,0.1230521,0.046,
2004,0.091,0.171,0.046315315,0.1242634,0.0476,
2005,0.092,0.188,0.036787857,0.1546477,0.0501,
2006,0.097,0.184,0.059296947,0.1321199,0.0548,
2007,0.092,0.169,0.060452412,0.1438828,0.0574,0.555
2008,0.09,0.157,0.070019225,0.1559077,0.0565,0.3078
2009,0.09,0.145,0.059515235,0.1421596,0.0551,0.1108
2010,0.091,0.166,0.053631311,0.1723097,0.0537,0.2969
2011,0.091,0.154,0.060958433,0.1483817,0.054,0.1256
2012,0.092,0.165,0.063018165,0.1407967,0.0542,0.1275
2013,0.093,0.148,0.073343069,0.1834101,0.0573,0.3733
2014,0.095,0.162,0.063297434,0.1848928,0.0537,0.1996
2015,0.099,0.176,0.067198752,0.1778359,0.0542,0.268
