"yr","Type","estimation","total","total.lcl","total.ucl"
1986,"relative","fit",1.09266661284692,0.831038662558292,1.41168053099656
1987,"relative","fit",1.05635936962151,0.848721280480695,1.30774753806818
1988,"relative","fit",0.96468934114474,0.784874722171006,1.173715496093
1989,"relative","fit",0.903473458592058,0.745806167948764,1.10620783626176
1990,"relative","fit",0.795559287056464,0.668792310316207,0.93912556233105
1991,"relative","fit",0.753035649811705,0.637969534000554,0.891334583835027
1992,"relative","fit",0.774965744180055,0.656437484928716,0.914533663531998
1993,"relative","fit",0.744345632253284,0.632150916979822,0.87585965110773
1994,"relative","fit",0.706680663932655,0.607228760814379,0.823034517267367
1995,"relative","fit",0.624103602134569,0.536567169571153,0.72097272841414
1996,"relative","fit",0.590844478120805,0.508569067889049,0.685205010878951
1997,"relative","fit",0.523342065037702,0.449280320887852,0.611354552207692
1998,"relative","fit",0.487236801492189,0.41968445089402,0.567895244515412
1999,"relative","fit",0.462680705682727,0.400540222123855,0.535503771537189
2000,"relative","fit",0.480996420945564,0.413840821105399,0.552604366427554
2001,"relative","fit",0.527361470415213,0.453739228010113,0.610225551576554
2002,"relative","fit",0.590947750900519,0.512146639346543,0.683321937278598
2003,"relative","fit",0.63180179943616,0.546810703915749,0.735152239468486
2004,"relative","fit",0.637223327135563,0.553442486048458,0.737076892702409
2005,"relative","fit",0.647945754203276,0.558971847992306,0.747313850819782
2006,"relative","fit",0.706499434468147,0.613105534505481,0.815915318968024
2007,"relative","fit",0.784107457120741,0.680063122231264,0.910728264711898
2008,"relative","fit",0.823385397377609,0.71421273515796,0.952221822187244
2009,"relative","fit",0.871433716898381,0.750056207098641,1.01349406673419
2010,"relative","fit",0.815163014919819,0.703997635555443,0.945928883743811
2011,"relative","fit",0.687156662724095,0.596069307414982,0.793921646963158
2012,"relative","fit",0.625627526249008,0.54253458347669,0.723345175965238
2013,"relative","fit",0.568706275820391,0.48883852350624,0.659465629953441
2014,"relative","fit",0.57412047134229,0.49519022525988,0.667798750666004
2015,"relative","fit",0.50291265297669,0.42559391782272,0.593608867501058
2016,"relative","prj",0.489521452761419,0.411647529193345,0.582108875748783
2017,"relative","prj",0.476581363745573,0.397993688240429,0.570540342155126
2018,"relative","prj",0.464100037177587,0.384856351342221,0.559571935996718
2019,"relative","prj",0.451824692559496,0.371785253759462,0.548889680544394
2020,"relative","prj",0.439973415625579,0.359173401190662,0.538403864892965
2021,"relative","prj",0.42868005438669,0.347283692285072,0.528780688999968
2022,"relative","prj",0.417498200440552,0.335384222441322,0.519070210233607
2023,"relative","prj",0.406336969086284,0.323978590985088,0.509501496626395
2024,"relative","prj",0.395497545814069,0.312468914925757,0.500206032026743
2025,"relative","prj",0.384951150882159,0.301566756773429,0.491677779010098
2026,"relative","prj",0.374869467291189,0.290928975742347,0.483041920033868
2027,"relative","prj",0.364988392282866,0.281089788202372,0.474313348791334
2028,"relative","prj",0.355513369191697,0.271195296726041,0.466139268422617
2029,"relative","prj",0.346195256930804,0.261670285728951,0.458296139885438
2030,"relative","prj",0.337133065661017,0.252543085462663,0.450350690148977
2031,"relative","prj",0.328286114089773,0.243668280410527,0.44274712799333
2032,"relative","prj",0.319724731861709,0.234941789947967,0.435203324810891
2033,"relative","prj",0.311197929319808,0.2263761305018,0.428018415284962
2034,"relative","prj",0.303095149657368,0.218173311775313,0.421158710556486
2035,"relative","prj",0.295140850332746,0.210115086249274,0.414267713370402
2036,"relative","prj",0.28728905152955,0.202494331437456,0.407549522209813
2037,"relative","prj",0.279684757902482,0.195305435416983,0.401183517308704
2038,"relative","prj",0.2723150342713,0.188442516814453,0.394716816256014
2039,"relative","prj",0.265225876660102,0.181767530600443,0.388517651012256
2040,"relative","prj",0.258210420389819,0.175139515946673,0.382202158064885
2041,"relative","prj",0.251362528336296,0.168650374667879,0.375917182493193
2042,"relative","prj",0.244717079935872,0.162361026996078,0.370145371516377
2043,"relative","prj",0.238312621784174,0.156556547667392,0.364006384539088
2044,"relative","prj",0.232055885600403,0.150942309142649,0.357964255215617
2045,"relative","prj",0.226013523939061,0.145592265390916,0.352550179326723
2046,"relative","prj",0.220071525380776,0.140462917067819,0.346953603163101
2047,"relative","prj",0.214240278476735,0.135457181137962,0.341171096259334
