"","V1","V2","V3"
"1",1992,NA,0.175418074156266
"2",1993,NA,0.157797139423121
"3",1994,0.206586104755574,0.15571706815632
"4",1995,0.178028149235195,0.149784427340663
"5",1996,0.165432486220738,0.15128677521824
"6",1997,0.17062117963058,0.149896657703908
"7",1998,0.165446387174368,0.168616362226729
"8",1999,0.158602442935463,0.155215066100207
"9",2000,0.141736347331661,0.157246654549632
"10",2001,0.142911606626323,0.1553718277446
"11",2002,0.148761958696639,0.160276674146508
"12",2003,0.145245763039169,0.152593097305681
"13",2004,0.161171249700006,0.16129630067616
"14",2005,0.163359252028453,0.219020316562634
"15",2006,0.147229505218262,0.292002293599252
"16",2007,0.162826538980763,0.358617803388257
"17",2008,0.146233460382401,NA
"18",2009,0.145894362551827,NA
"19",2010,0.150029922245202,NA
"20",2011,0.159768632874327,NA
"21",2012,0.162118132729333,NA
"22",2013,0.166777020526728,NA
"23",2014,0.200370397397622,NA
"24",2015,0.242866835497228,NA
"25",2016,0.318462742410161,NA
"26",2017,0.385003981919665,NA
