Year,SC.Au.OG,SC.Au.NG,SC.Sp.OG,SC.Sp.NG,Angling
1991,0.295797373,1.00E-04,1.00E-04,1.00E-04,1.00E-04
1992,0.262458913,1.00E-04,1.00E-04,1.00E-04,1.00E-04
1993,0.301616712,1.00E-04,1.00E-04,1.00E-04,1.00E-04
1994,0.287785945,1.00E-04,1.00E-04,1.00E-04,1.00E-04
1995,0.341447899,1.00E-04,1.00E-04,1.00E-04,1.00E-04
1996,0.34536302,1.00E-04,1.00E-04,1.00E-04,0.275240734
1997,0.418239102,1.00E-04,1.00E-04,1.00E-04,0.26487767
1998,1.00E-04,1.00E-04,1.00E-04,1.00E-04,0.287664064
1999,0.304236866,1.00E-04,1.00E-04,1.00E-04,0.421380791
2000,1.00E-04,1.00E-04,1.00E-04,1.00E-04,0.23749545
2001,1.00E-04,1.00E-04,0.415899118,1.00E-04,0.272911376
2002,1.00E-04,1.00E-04,1.00E-04,1.00E-04,0.25844744
2003,0.352153366,1.00E-04,1.00E-04,0.319185555,0.220418359
2004,1.00E-04,0.438974416,1.00E-04,0.296456921,0.30119239
2005,1.00E-04,0.434192221,1.00E-04,1.00E-04,0.369496076
2006,0.50653003,1.00E-04,0.272664191,1.00E-04,0.222135749
2007,1.00E-04,0.411655888,1.00E-04,0.332049998,0.37195011
2008,1.00E-04,0.348382445,1.00E-04,0.264834601,0.212023106
2009,1.00E-04,0.438409781,1.00E-04,1.00E-04,0.225589136
2010,0.322063714,1.00E-04,1.00E-04,1.00E-04,0.216179084
2011,1.00E-04,0.368347969,1.00E-04,1.00E-04,0.30816943
2012,1.00E-04,1.00E-04,1.00E-04,1.00E-04,0.332663387
2013,1.00E-04,1.00E-04,1.00E-04,1.00E-04,0.341493318
2014,1.00E-04,0.488402519,1.00E-04,1.00E-04,0.250213402
2015,1.00E-04,0.444648453,1.00E-04,1.00E-04,0.311056943
2016,1.00E-04,0.388762864,1.00E-04,0.356930484,0.300822936
2017,1.00E-04,1.00E-04,1.00E-04,1.00E-04,0.381835708
