"yr","Type","estimation","total","total.lcl","total.ucl"
1991,"relative","fit",4157.25309046926,2770.46688152701,6383.7620450103
1992,"relative","fit",4198.63943262655,2939.93067089123,6256.75626752352
1993,"relative","fit",4084.01689017435,2920.46983860606,6005.0462381834
1994,"relative","fit",4022.81713448376,2898.77851112113,6008.51779562916
1995,"relative","fit",3681.51986323596,2648.67912553306,5111.08385341367
1996,"relative","fit",3414.80636219888,2397.93465790572,4692.80412700909
1997,"relative","fit",3226.75242727648,2137.98161451958,4523.59556833203
1998,"relative","fit",3073.30501809551,1924.56507009627,4355.02533784138
1999,"relative","fit",2970.50373399162,1856.94454600203,4238.27495299442
2000,"relative","fit",3024.24808005033,1976.9843592131,4379.52456666622
2001,"relative","fit",2889.34597306542,1760.39469233811,4276.61271203725
2002,"relative","fit",2912.29521459295,1806.38013541219,4299.69901107874
2003,"relative","fit",2928.31905975958,1871.6824617982,4267.06002541676
2004,"relative","fit",2806.47184562474,1685.28682628644,4210.86062364962
2005,"relative","fit",2877.58348919245,1765.32182069801,4308.24993973022
2006,"relative","fit",3112.84164839191,2031.70489723168,4718.58017389284
2007,"relative","fit",3014.885103127,1927.34298450917,4615.90750144728
2008,"relative","fit",3066.18015005458,1983.65642883608,4737.2008152811
2009,"relative","fit",3101.71809903339,2034.41902886989,4879.53499476314
2010,"relative","fit",2927.98173996124,1912.94536987365,4471.27874124392
2011,"relative","fit",2682.68161797577,1677.0460204614,4191.82673124583
2012,"relative","fit",2474.92868753574,1398.65452929099,3988.76734656387
2013,"relative","fit",2415.57016639049,1387.23943123269,3936.27917487702
2014,"relative","fit",2445.91505243235,1472.77201816936,3951.17541408256
2015,"relative","fit",2381.19043977182,1419.05715576543,3881.72998167632
2016,"relative","fit",2314.38021500682,1363.21200533089,3855.78203617559
2017,"relative","fit",2152.20415761221,1110.60182349453,3833.71103561477
2018,"relative","prj",2098.51985297324,1055.18828300154,3824.15282895301
2019,"relative","prj",2045.37504081184,1002.2284406992,3806.22048476455
2020,"relative","prj",1993.57559526884,953.290899459551,3796.68864015875
2021,"relative","prj",1944.61015811026,903.4939796426,3782.15636140787
2022,"relative","prj",1895.95090604611,856.731118184707,3775.96130373571
2023,"relative","prj",1848.64574190245,809.828679546165,3767.3885130057
2024,"relative","prj",1803.06655652391,768.338205342794,3763.03561447373
2025,"relative","prj",1755.43116640094,730.070570116467,3754.24478669487
2026,"relative","prj",1711.96172181996,691.634178993327,3746.60197318106
2027,"relative","prj",1668.24675534567,656.19730991344,3739.07586064965
2028,"relative","prj",1626.69619119182,622.58038267202,3733.46013398791
2029,"relative","prj",1585.95420963933,590.300896302263,3723.00814967675
2030,"relative","prj",1547.00346032789,558.856055262353,3720.83116834126
2031,"relative","prj",1508.59673965668,530.112884796618,3726.50163227113
2032,"relative","prj",1472.23971499463,501.296946483065,3722.83014716451
2033,"relative","prj",1435.48254922946,476.438075722459,3729.57460402161
