Year,SC.Au.OG,SC.Au.NG,SC.Sp.OG,SC.Sp.NG
1991,0.298726325,,,
1992,0.265202492,,,
1993,0.216943551,,,
1994,0.245996498,,,
1995,0.233631394,,,
1996,0.226425269,,,
1997,0.286913467,,,
1998,,,,
1999,0.230525447,,,
2000,,,,
2001,,,0.295369776,
2002,,,,
2003,0.233779109,,,0.28030036
2004,,0.288281287,,0.395544422
2005,,0.290563883,,
2006,0.24270926,,0.250126167,
2007,,0.406607297,,0.278498344
2008,,0.267909149,,0.336749507
2009,,0.274291723,,
2010,0.387058434,,,
2011,,0.25532117,,
2012,,,,
2013,,,,
2014,,0.280548008,,
2015,,0.326666076,,
2016,,0.3732691,,0.639620967
