"yr","Type","estimation","total","total.lcl","total.ucl"
1991,"relative","fit",7104.54231750342,4837.19221734865,9961.31941866495
1992,"relative","fit",7050.36388582496,5145.66404279387,9503.00401707502
1993,"relative","fit",7101.0410307758,5389.0917926796,9623.61255504026
1994,"relative","fit",7002.14246611337,5391.01175171031,9996.68139278662
1995,"relative","fit",6566.67007227389,5100.54701848509,8653.84074177497
1996,"relative","fit",6125.60813298973,4653.08233270804,7847.92555920747
1997,"relative","fit",5673.69203255516,3981.9535149065,7309.36119115731
1998,"relative","fit",5481.72610720448,3663.83988868389,7202.09751794544
1999,"relative","fit",5276.35982334783,3584.84923741404,6959.92892458257
2000,"relative","fit",5233.26042264888,3536.48691057866,7121.60517518854
2001,"relative","fit",5170.72182572849,3524.22870230085,7104.77178094602
2002,"relative","fit",5101.21060781137,3528.76160082145,7231.61656880414
2003,"relative","fit",5055.19392829758,3622.02710112305,7096.28167838873
2004,"relative","fit",4794.84693565021,3264.68421764411,6895.74432501924
2005,"relative","fit",4620.47443624361,3094.75516383905,6760.97273751037
2006,"relative","fit",4480.73455671056,3101.53989136175,6489.49195252637
2007,"relative","fit",4287.52449564187,2752.83835430059,6397.21078517477
2008,"relative","fit",4246.49666294411,2708.16495296223,6489.66528902338
2009,"relative","fit",4295.07583690525,2768.79099309282,6761.77859114525
2010,"relative","fit",4268.56203272492,2713.77765808178,6904.70514606594
2011,"relative","fit",4293.2564057486,2659.58877467397,7372.82538716345
2012,"relative","fit",4095.88811228544,2428.54636788983,7292.78734491973
2013,"relative","fit",3939.51314900958,2246.14579037122,7049.12744345244
2014,"relative","fit",3775.47445644769,2140.80947790585,6745.21753779972
2015,"relative","fit",3716.3886257771,2035.09669067538,6881.2083778679
2016,"relative","fit",3629.81686797516,1914.38950221956,6922.62012727858
2017,"relative","prj",3531.51075834478,1816.60501765549,6935.85788169008
2018,"relative","prj",3438.0600631879,1719.8117703071,6970.45836588188
2019,"relative","prj",3348.02382352991,1624.45448211976,6975.61120866617
2020,"relative","prj",3256.04504561165,1535.76049549462,6982.39894509823
2021,"relative","prj",3168.54018499089,1449.53994387652,7009.49373227233
2022,"relative","prj",3085.13199856287,1368.22616233165,7018.06273273001
2023,"relative","prj",3001.42204242581,1294.86972171304,7043.42120884599
2024,"relative","prj",2921.45745971597,1224.77535763928,7034.47507963874
2025,"relative","prj",2842.74087416292,1158.12895914779,7049.92461540833
2026,"relative","prj",2765.77342739554,1095.07512030261,7057.73583489609
2027,"relative","prj",2688.1951140806,1035.27033763682,7076.42910800975
2028,"relative","prj",2617.68849892809,978.242439429288,7086.66228077962
2029,"relative","prj",2548.28855185978,926.167886036525,7108.83426038683
2030,"relative","prj",2480.08724809511,876.297122785454,7117.28499220496
2031,"relative","prj",2414.26336598677,827.616688667461,7133.00949722956
2032,"relative","prj",2349.23337618616,781.866950807756,7127.81938555444
2033,"relative","prj",2284.99083274105,739.620501294753,7133.8328245742
2034,"relative","prj",2226.22106834692,698.649476985105,7133.83656224011
2035,"relative","prj",2168.0604976756,659.398986323705,7133.85143506505
2036,"relative","prj",2111.42658653418,622.361483475046,7164.34700642067
2037,"relative","prj",2055.28780038187,586.300230953161,7143.9156772674
2038,"relative","prj",2001.50284371124,554.454148547973,7174.7097954094
2039,"relative","prj",1949.30427763553,521.763475652537,7198.16043356356
2040,"relative","prj",1898.32646784152,493.056970386264,7194.96672905772
2041,"relative","prj",1850.15256099083,465.301867117861,7197.35857407179
2042,"relative","prj",1799.51066071124,440.149525730405,7213.93622353288
2043,"relative","prj",1752.24089501041,415.777027419322,7223.24209399521
2044,"relative","prj",1704.16603788243,392.752800086713,7242.61672686124
2045,"relative","prj",1657.96290314465,371.335830330155,7240.61355607181
2046,"relative","prj",1614.74607597453,351.541237531019,7242.61672686124
2047,"relative","prj",1571.84064609139,332.383652558218,7251.67200215426
2048,"relative","prj",1531.71351713904,314.32900856145,7261.53875668432
2049,"relative","prj",1490.68684949793,296.320518090294,7263.10788771792
2050,"relative","prj",1450.22958969685,279.780598094451,7263.10788771792
2051,"relative","prj",1411.08478392009,264.876510352173,7266.7770156835
2052,"relative","prj",1373.16300249363,250.299269471262,7273.60444254929
2053,"relative","prj",1337.09335807928,235.838185971425,7276.96010621735
2054,"relative","prj",1300.91461053354,222.415348367334,7288.14386819919
2055,"relative","prj",1267.17180466588,209.997436821142,7294.89227506045
2056,"relative","prj",1232.9999876169,198.157119264988,7298.50206285504
2057,"relative","prj",1201.53380475334,186.834290088788,7311.84554221981
2058,"relative","prj",1169.99337064933,176.154127575149,7303.02159630241
2059,"relative","prj",1139.86106227839,166.08450421552,7303.02159630241
2060,"relative","prj",1110.7563334653,156.60319953377,7313.47704718627
2061,"relative","prj",1081.29163395502,147.625141995678,7313.47704718627
