Year,SC.Au.OG,SC.Au.NG,SC.Sp.OG,SC.Sp.NG
1991,16117.35773,NA,NA,NA
1992,8588.326987,NA,NA,NA
1993,14618.57045,NA,NA,NA
1994,10937.62755,NA,NA,NA
1995,15170.75955,NA,NA,NA
1996,9857.103645,NA,NA,NA
1997,12355.2323,NA,NA,NA
1998,NA,NA,NA,NA
1999,9830.507207,NA,NA,NA
2000,NA,NA,NA,NA
2001,NA,NA,9680.792608,NA
2002,NA,NA,NA,NA
2003,6305.197908,NA,NA,9147.607436
2004,NA,2869.540286,NA,5004.742627
2005,NA,2859.493143,NA,NA
2006,7972.68409,NA,11061.77062,NA
2007,NA,1554.184132,NA,6547.833848
2008,NA,6155.322519,NA,8037.227075
2009,NA,3217.158354,NA,NA
2010,13957.83644,NA,NA,NA
2011,NA,7287.606378,NA,NA
2012,NA,NA,NA,NA
2013,NA,NA,NA,NA
2014,NA,5340.743013,NA,NA
2015,NA,7915.309389,NA,NA
2016,NA,4579.399699,NA,2855.145421
2017,NA,NA,NA,NA
