Year,SC.Au.OG,SC.Au.NG,SC.Sp.OG,SC.Sp.NG
1991,0.286715623,0.0001,0.0001,0.0001
1992,0.297762931,0.0001,0.0001,0.0001
1993,0.237696794,0.0001,0.0001,0.0001
1994,0.329592273,0.0001,0.0001,0.0001
1995,0.277697112,0.0001,0.0001,0.0001
1996,0.343617731,0.0001,0.0001,0.0001
1997,0.391562328,0.0001,0.0001,0.0001
1998,0.0001,0.0001,0.0001,0.0001
1999,0.312167161,0.0001,0.0001,0.0001
2000,0.0001,0.0001,0.0001,0.0001
2001,0.0001,0.0001,0.375384689,0.0001
2002,0.0001,0.0001,0.0001,0.0001
2003,0.329961666,0.0001,0.0001,0.309888895
2004,0.0001,0.665219451,0.0001,0.35371399
2005,0.0001,0.441086554,0.0001,0.0001
2006,0.370051385,0.0001,0.277203713,0.0001
2007,0.0001,0.521956652,0.0001,0.417094473
2008,0.0001,0.603080055,0.0001,0.340887012
2009,0.0001,0.475847906,0.0001,0.0001
2010,0.418844998,0.0001,0.0001,0.0001
2011,0.0001,0.508383442,0.0001,0.0001
2012,0.0001,0.0001,0.0001,0.0001
2013,0.0001,0.0001,0.0001,0.0001
2014,0.0001,0.376225313,0.0001,0.0001
2015,0.0001,0.417590473,0.0001,0.0001
2016,0.0001,0.426649971,0.0001,0.365219506
2017,0.0001,0.0001,0.0001,0.0001
