"yr","Type","estimation","total","total.lcl","total.ucl"
1991,"relative","fit",12831.7304056053,9099.11133601606,18393.4048475368
1992,"relative","fit",12382.5886911262,9058.20604561167,16869.528034098
1993,"relative","fit",12319.8819843414,9247.05644435182,16501.9412094074
1994,"relative","fit",12023.9713427697,9153.16731296699,15929.7472845405
1995,"relative","fit",11888.0693850615,9092.37119389416,15807.9724983734
1996,"relative","fit",11460.8296205236,8606.4122655925,15158.6740465626
1997,"relative","fit",11188.7562397653,8234.99434675701,14984.6227077835
1998,"relative","fit",10851.7859789494,7759.54598231937,14683.5202986736
1999,"relative","fit",10531.800248173,7456.82519579191,14268.0835341046
2000,"relative","fit",10273.5774809272,6888.41722211708,14126.809689651
2001,"relative","fit",9976.76641390341,6542.18606042662,14024.6948154516
2002,"relative","fit",9745.98463222962,6328.41722976646,13981.8587177236
2003,"relative","fit",9523.47855046237,6270.36284680315,13697.1623150709
2004,"relative","fit",9265.67880022791,5746.67295963119,13630.204742775
2005,"relative","fit",9160.84819083614,5567.59364137835,13799.3385515349
2006,"relative","fit",9140.52191926509,5803.16293564087,13939.5410391362
2007,"relative","fit",9155.76573402675,5613.71312509087,14365.133060133
2008,"relative","fit",9398.31634133479,5834.27360958613,15153.0487476282
2009,"relative","fit",9414.60821685836,5777.56090756363,15526.81267562
2010,"relative","fit",9571.1694944425,5752.90737854655,16162.2107160794
2011,"relative","fit",9571.49286278626,5534.56834197924,16898.3061050633
2012,"relative","fit",9429.072034025,5318.49426148418,17368.0185687293
2013,"relative","fit",9275.87623478872,5118.45378148438,17568.1607307191
2014,"relative","fit",9152.72138063067,4949.1286292059,17214.2046487522
2015,"relative","fit",8946.82722124546,4714.99447709008,17131.5838842352
2016,"relative","fit",8451.17152971319,4241.06850042445,16870.498104594
2017,"relative","fit",8348.89590456194,3884.10412261317,17521.0591183764
2018,"relative","prj",8209.5830460642,3704.21827852235,17732.5942611816
2019,"relative","prj",8076.12270911595,3532.4796207176,17964.3217021593
2020,"relative","prj",7946.11467120233,3357.91912978952,18261.8659905951
2021,"relative","prj",7815.22752781959,3196.4837451747,18557.1626521982
2022,"relative","prj",7688.38184222416,3043.98787162931,18833.2998405123
2023,"relative","prj",7558.79883954322,2899.46110363949,19131.8582856054
2024,"relative","prj",7443.77692639124,2762.58491108975,19418.11872056
2025,"relative","prj",7333.58747303762,2627.81514203637,19706.3862758356
2026,"relative","prj",7208.15010939844,2498.89776614731,19951.524089903
2027,"relative","prj",7083.2051293936,2372.31734287123,20220.1526842324
2028,"relative","prj",6961.85691364138,2253.66779708157,20439.5069584993
2029,"relative","prj",6845.4155607594,2143.49715809041,20640.112100879
2030,"relative","prj",6735.22322694696,2043.14375592653,20711.592915995
2031,"relative","prj",6632.82525401114,1939.78762122359,20847.11972869
2032,"relative","prj",6525.8959879574,1843.92073068805,21057.2206892822
2033,"relative","prj",6421.01155033417,1750.81652575741,21134.0696876458
2034,"relative","prj",6312.37782613529,1664.06034664726,21203.533361055
2035,"relative","prj",6214.82188680669,1582.62811736538,21297.811104901
2036,"relative","prj",6120.13684397669,1505.1719049942,21413.3629385958
2037,"relative","prj",6009.64968105392,1429.03452793061,21489.3053376718
2038,"relative","prj",5912.86848607176,1356.72862484773,21579.6232996254
2039,"relative","prj",5815.28525089024,1286.90845179882,21628.4462629891
2040,"relative","prj",5717.44943256667,1218.98404087211,21634.47958526
2041,"relative","prj",5624.39091266178,1156.5881175738,21699.1498130573
2042,"relative","prj",5523.71917165474,1101.60989392582,21769.3630496289
2043,"relative","prj",5431.27315111184,1047.56533498329,21837.7213087082
2044,"relative","prj",5338.12424441809,992.204168017703,21904.1249774963
2045,"relative","prj",5243.1168799466,940.489603812949,21964.7550492869
2046,"relative","prj",5157.74945836017,892.817941780864,21994.945669961
2047,"relative","prj",5071.66894546173,848.267752186929,22026.4002955008
2048,"relative","prj",4985.70543361679,806.568696869602,22053.4554660069
2049,"relative","prj",4904.43929512245,767.195752058183,22115.326914163
2050,"relative","prj",4820.31894548026,729.132254690268,22135.1297279935
2051,"relative","prj",4738.74486159299,692.922844212774,22264.7388365226
2052,"relative","prj",4660.62942758598,658.815609333179,22270.4854578892
2053,"relative","prj",4582.97445471516,625.835828394999,22285.853213983
2054,"relative","prj",4505.6833810166,594.769901172641,22285.853213983
2055,"relative","prj",4429.21587235909,565.246059633567,22302.0668442989
2056,"relative","prj",4357.56766552691,535.692186244699,22334.8616823138
2057,"relative","prj",4283.66056625823,508.648678398799,22394.7668483318
2058,"relative","prj",4216.38139395714,483.109955874511,22406.6706646119
2059,"relative","prj",4146.07199948333,459.01352461682,22406.6706646119
