Year,SC.Au.OG,SC.Au.NG,SC.Sp.OG,SC.Sp.NG,WC.Su.OG,WC.Su.NG
1991,16158.73377,NA,NA,NA,16994.70472,NA
1992,17305.41215,NA,NA,NA,31851.97029,NA
1993,25360.67379,NA,NA,NA,18718.87714,NA
1994,18309.07054,NA,NA,NA,28628.29555,NA
1995,17512.16218,NA,NA,NA,20713.53434,NA
1996,19800.65985,NA,NA,NA,17959.6237,NA
1997,20483.77072,NA,NA,NA,26861.21313,NA
1998,NA,NA,NA,NA,NA,NA
1999,20589.97687,NA,NA,NA,31005.12226,NA
2000,NA,NA,NA,NA,NA,NA
2001,NA,NA,26747.69205,NA,NA,NA
2002,NA,NA,NA,NA,25433.6751,NA
2003,28286.36867,NA,NA,19464.17757,21134.63384,NA
2004,NA,11653.18575,NA,17584.55909,NA,8373.088511
2005,NA,16404.09136,NA,NA,NA,18630.92586
2006,24303.27192,NA,29537.60232,NA,18719.37061,NA
2007,NA,14438.63474,NA,20583.90832,NA,7291.54389
2008,NA,13785.09269,NA,11115.88391,NA,10026.51436
2009,NA,9860.010587,NA,NA,NA,19525.53666
2010,33066.11548,NA,NA,NA,25987.11685,NA
2011,NA,14523.04884,NA,NA,NA,16387.40072
2012,NA,NA,NA,NA,NA,14327.89455
2013,NA,NA,NA,NA,NA,10982.48743
2014,NA,12754.22714,NA,NA,NA,14645.86113
2015,NA,15370.89271,NA,NA,NA,16781.70671
2016,NA,10870.70806,NA,18652.8261,NA,16111.10593
2017,NA,NA,NA,NA,NA,16074.02739
