Year,SC.Au.OG,SC.Au.NG,SC.Sp.OG,SC.Sp.NG,WC.Su.OG,WC.Su.NG
1991,0.135386626,0.0001,0.0001,0.0001,0.148843878,0.0001
1992,0.153065392,0.0001,0.0001,0.0001,0.115354308,0.0001
1993,0.128104322,0.0001,0.0001,0.0001,0.14976314,0.0001
1994,0.151471301,0.0001,0.0001,0.0001,0.144395639,0.0001
1995,0.145607405,0.0001,0.0001,0.0001,0.122493163,0.0001
1996,0.143829278,0.0001,0.0001,0.0001,0.143009836,0.0001
1997,0.13949327,0.0001,0.0001,0.0001,0.143774092,0.0001
1998,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
1999,0.134171364,0.0001,0.0001,0.0001,0.141403796,0.0001
2000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
2001,0.0001,0.0001,0.15582522,0.0001,0.0001,0.0001
2002,0.0001,0.0001,0.0001,0.0001,0.137873228,0.0001
2003,0.129646454,0.0001,0.0001,0.121607781,0.130296071,0.0001
2004,0.0001,0.146376589,0.0001,0.120706202,0.0001,0.167542716
2005,0.0001,0.133192082,0.0001,0.0001,0.0001,0.131668917
2006,0.137145564,0.0001,0.128805583,0.0001,0.14858681,0.0001
2007,0.0001,0.138350885,0.0001,0.141992908,0.0001,0.154222343
2008,0.0001,0.130201172,0.0001,0.144904321,0.0001,0.149472706
2009,0.0001,0.144076914,0.0001,0.0001,0.0001,0.136076707
2010,0.179212193,0.0001,0.0001,0.0001,0.163160718,0.0001
2011,0.0001,0.141121583,0.0001,0.0001,0.0001,0.152033196
2012,0.0001,0.0001,0.0001,0.0001,0.0001,0.155447591
2013,0.0001,0.0001,0.0001,0.0001,0.0001,0.150723139
2014,0.0001,0.133582462,0.0001,0.0001,0.0001,0.163480117
2015,0.0001,0.144069038,0.0001,0.0001,0.0001,0.164069103
2016,0.0001,0.145751471,0.0001,0.135224525,0.0001,0.161927126
2017,0.0001,0.0001,0.0001,0.0001,0.0001,0.133012428
