"yr","Type","estimation","total","total.lcl","total.ucl"
1991,"relative","fit",20719.4083315124,16758.0348359741,25186.6333469112
1992,"relative","fit",21496.270003951,17898.4540521767,25768.2527493775
1993,"relative","fit",21865.6126396163,18369.7807324172,26025.5853014409
1994,"relative","fit",22067.9850767817,18672.5610289635,26131.9844071013
1995,"relative","fit",22056.3944812662,18579.4867443418,25973.2958657461
1996,"relative","fit",22354.2556426323,18719.739145755,26222.7323249658
1997,"relative","fit",23030.502685334,19368.0378950825,27203.7891047174
1998,"relative","fit",23506.92525064,19636.3526230279,28182.5990947263
1999,"relative","fit",23970.9431154804,20107.396748809,28938.4596320995
2000,"relative","fit",24254.6908296744,20142.0109505451,29423.5696022671
2001,"relative","fit",24522.7028649807,20386.6491740448,29747.455232762
2002,"relative","fit",24847.3560455402,20787.3911150941,29863.8934972111
2003,"relative","fit",25143.2241762821,20916.5918111435,30151.8159767096
2004,"relative","fit",25155.0770720167,20578.2664723896,30566.9176991805
2005,"relative","fit",25790.3591077646,21060.6430371933,31739.1133930865
2006,"relative","fit",25460.8443908071,20704.7375634012,30983.2631855445
2007,"relative","fit",25393.606817787,20107.0109016934,31247.9718211473
2008,"relative","fit",25541.7624028417,19934.8003250427,31849.1116066584
2009,"relative","fit",26476.3685242712,21041.1733137084,33110.8987564498
2010,"relative","fit",27209.8665651955,21699.0898370149,33957.9025300299
2011,"relative","fit",27654.9008954634,21677.1773071131,34946.8273390756
2012,"relative","fit",27751.6193135497,21443.2846510442,35507.4626422943
2013,"relative","fit",27818.9929377817,21315.2037253833,36055.8965013829
2014,"relative","fit",28286.0598638784,21553.7513255971,36856.5620227125
2015,"relative","fit",28839.1750705473,22012.9541897321,37755.1633257461
2016,"relative","fit",29001.4767882229,21855.0787181376,38340.4608774934
2017,"relative","fit",29556.4905605606,21662.0467432469,40040.70274004
2018,"relative","prj",29955.3281251723,21697.0857530524,41141.005577967
2019,"relative","prj",30362.0070477464,21750.9430324663,42252.7512779264
2020,"relative","prj",30785.958420925,21798.7092043379,43361.2799060296
2021,"relative","prj",31220.5018478164,21830.5174882667,44506.9533371774
2022,"relative","prj",31657.5850419344,21850.0489841584,45666.9239377274
2023,"relative","prj",32102.8230058289,21873.1549844904,46963.6830921719
2024,"relative","prj",32530.2619729565,21884.5907065631,48136.9162131137
2025,"relative","prj",32963.1648709852,21887.9132153953,49481.813461515
