Year,TWN_NE,TWN_NW,JAP_NW_hist,JAP_NE_hist,JPN_NW,JPN_NE
1976,,,4.002384175,0.855272897,,
1977,,,6.227385039,2.990026133,,
1978,,,4.00803119,2.289795763,,
1979,2.107273368,1.64242103,4.060317083,1.72069889,,
1980,1.500994108,1.840729096,3.594123096,1.966962811,,
1981,1.196839112,1.964787609,1.362959234,1.894855658,,
1982,0.624225661,1.2318123,1.440648119,1.431093561,,
1983,0.511917383,0.961805809,0.738094718,0.867716478,,
1984,0.904071898,0.946681261,1.410009191,0.961394514,,
1985,0.674022215,1.097320011,1.349598662,0.979249784,,
1986,0.998051485,1.072759904,1.578072486,1.053254199,,
1987,0.705222988,0.790388096,0.935882477,0.649966036,,
1988,0.595029735,0.522111982,0.51079708,0.338666486,,
1989,0.37212749,0.377281999,0.456032615,0.233112888,,
1990,0.265120542,0.270409632,0.422591649,0.15025596,,
1991,0.541246353,0.40488397,0.608890925,0.220579086,,
1992,0.504455401,0.470994064,0.72349995,0.581135903,,
1993,0.359735845,0.454581592,0.598020442,0.293675263,,
1994,0.628549569,0.913873022,,,0.987,0.865
1995,0.647091207,0.741019996,,,0.939,0.624
1996,0.608570257,0.80395521,,,0.843,1.058
1997,0.466455455,0.696077079,,,0.543,0.794
1998,0.334459603,0.460113984,,,0.395,0.387
1999,0.43369254,0.421696648,,,0.394,0.409
2000,0.363377851,0.310749038,,,0.512,0.249
2001,0.387299053,0.477666277,,,0.332,0.267
2002,0.346297849,0.538191521,,,0.362,0.478
2003,0.323665964,0.352658188,,,0.174,0.353
2004,0.367992108,0.347672641,,,0.202,0.203
2005,0.204295071,0.241044764,,,0.079,0.221
2006,0.172778415,0.258581299,,,0.105,0.237
2007,0.097985562,0.143789437,,,0.059,0.112
2008,0.20971173,0.183903961,,,0.205,0.344
2009,0.125312281,0.118824656,,,0.05,0.106
2010,0.647383616,0.13690165,,,0.313,0.173
2011,0.647925533,0.156603761,,,,0.144
2012,0.856698172,0.132033982,,,,0.092
2013,0.716827651,0.410408118,,,,0.245
2014,0.294749605,0.322105501,,,,0.2
2015,0.257354695,0.225246805,,,,0.104
2016,0.695410231,0.253303052,,,,0.109
2017,0.321661653,0.191702681,,,,0.102
