Year,TWN_NE,TWN_NW,JAP_NW_hist,JAP_NE_hist,JPN_NW,JPN_NE
1976,,,0.252285805,0.261781307,,
1977,,,0.252515784,0.258081781,,
1978,,,0.243854471,0.253624172,,
1979,0.335422757,0.08973687,0.248400063,0.252716718,,
1980,0.327049343,0.067621667,0.246194015,0.249015542,,
1981,0.392619996,0.077825267,0.244720797,0.247634699,,
1982,0.309495054,0.086782352,0.24380628,0.247687395,,
1983,0.470793749,0.101892058,0.242438865,0.2455519,,
1984,0.457048879,0.090825082,0.243515163,0.245163695,,
1985,0.365438019,0.076154882,0.241595707,0.244488704,,
1986,0.173298867,0.088558448,0.242248533,0.243121447,,
1987,0.21454045,0.12887,0.245806941,0.245122446,,
1988,0.241878493,0.164820816,0.249115064,0.246061507,,
1989,0.340581775,0.221235025,0.256202433,0.253406333,,
1990,0.495336322,0.425283196,0.2698762,0.250162504,,
1991,0.28924881,0.41740241,0.251574592,0.251515134,,
1992,0.468024665,0.839571482,0.272100542,0.251620488,,
1993,0.250853297,0.287978349,0.253748744,0.253244227,,
1994,0.172030954,0.157979066,,,0.237199149,0.185779347
1995,0.171411259,0.171649828,,,0.242111663,0.179459383
1996,0.16536194,0.132345177,,,0.239380386,0.180914429
1997,0.16899664,0.170502598,,,0.231303853,0.170659444
1998,0.22877404,0.19275227,,,0.236456728,0.181340235
1999,0.190633272,0.173932158,,,0.23714069,0.182992247
2000,0.199460752,0.223962957,,,0.240289481,0.184183797
2001,0.181524694,0.154791814,,,0.259038487,0.18968706
2002,0.161052124,0.188994255,,,0.254584521,0.215893247
2003,0.154827328,0.204570946,,,0.262906204,0.254973293
2004,0.114782872,0.146955814,,,0.25732295,0.248220989
2005,0.146775088,0.276173037,,,0.254797708,0.290811842
2006,0.179875916,0.25810358,,,0.251862082,0.202600638
2007,0.285858433,0.315568381,,,0.250881469,0.208282662
2008,0.24321202,0.22825206,,,0.247074108,0.202622833
2009,0.430752284,0.236968977,,,0.254180454,0.213529515
2010,0.194773862,0.216961704,,,0.293470065,0.244370578
2011,0.230842002,0.229347643,,,,0.360073646
2012,0.103780948,0.566686451,,,,0.274509312
2013,0.119012895,0.465217285,,,,0.268147571
2014,0.236054287,0.442271482,,,,0.277582805
2015,0.237435868,0.539225179,,,,0.450328117
2016,0.117667039,0.406104118,,,,0.286369301
2017,0.183473006,0.486125314,,,,0.546667708
