"assessment","scenario","name","yr","Type","estimation","mu","lcl","ucl"
"MLS","s1","global",1976,"relative","fit",3.00663701062401,1.99026680833617,4.76560386093884
"MLS","s1","global",1977,"relative","fit",4.48310405823178,2.89048187561165,6.68206407852048
"MLS","s1","global",1978,"relative","fit",3.851877017779,2.50889269306183,5.71926270305373
"MLS","s1","global",1979,"relative","fit",3.14244740497235,2.23912308562732,4.43948570191523
"MLS","s1","global",1980,"relative","fit",2.78914977390569,1.99335801563538,3.91006339040951
"MLS","s1","global",1981,"relative","fit",2.10088375358676,1.49826629396839,2.920595867057
"MLS","s1","global",1982,"relative","fit",1.56096304076636,1.1226252971152,2.14781463335061
"MLS","s1","global",1983,"relative","fit",1.12283615978271,0.806355706313608,1.59034459185807
"MLS","s1","global",1984,"relative","fit",1.39375025838551,0.968622467880337,1.99543245480039
"MLS","s1","global",1985,"relative","fit",1.37841982623738,0.957063402596178,1.97434046261092
"MLS","s1","global",1986,"relative","fit",1.44694153990888,1.00463848668811,2.04519011811388
"MLS","s1","global",1987,"relative","fit",1.02448961005287,0.744068354591345,1.38570253721959
"MLS","s1","global",1988,"relative","fit",0.690192152944885,0.500089221564717,0.945799061199612
"MLS","s1","global",1989,"relative","fit",0.490138345909298,0.348105825854924,0.68352476243675
"MLS","s1","global",1990,"relative","fit",0.388315751627013,0.27910605050014,0.555247792524167
"MLS","s1","global",1991,"relative","fit",0.562346812685765,0.401158684326896,0.787939932794056
"MLS","s1","global",1992,"relative","fit",0.740904209215988,0.518911082878386,1.04082501258757
"MLS","s1","global",1993,"relative","fit",0.681780719593882,0.497235450815248,0.952830506982374
"MLS","s1","global",1994,"relative","fit",1.1656534343774,0.806144168439508,1.63450676607556
"MLS","s1","global",1995,"relative","fit",1.2097738039843,0.816096238624546,1.82135828468005
"MLS","s1","global",1996,"relative","fit",1.28692964963086,0.863189889742526,1.89453317207403
"MLS","s1","global",1997,"relative","fit",0.99257840194275,0.688175459568769,1.43727062513653
"MLS","s1","global",1998,"relative","fit",0.702659519296624,0.481566208552093,1.03221958991249
"MLS","s1","global",1999,"relative","fit",0.680181650153541,0.457996152556816,1.0096007341861
"MLS","s1","global",2000,"relative","fit",0.589256836910342,0.399137586217004,0.887035961966074
"MLS","s1","global",2001,"relative","fit",0.599865346647736,0.409735295327164,0.897259437673124
"MLS","s1","global",2002,"relative","fit",0.665463077999118,0.446526161308061,0.976500250233275
"MLS","s1","global",2003,"relative","fit",0.498297120645217,0.343908726238025,0.748681496771957
"MLS","s1","global",2004,"relative","fit",0.429820404766524,0.293102905135122,0.628723626182865
"MLS","s1","global",2005,"relative","fit",0.302886947547524,0.211186162090359,0.450792386535987
"MLS","s1","global",2006,"relative","fit",0.28380217864668,0.192889115465074,0.41170954952335
"MLS","s1","global",2007,"relative","fit",0.197270778525057,0.140396193778014,0.289211965777744
"MLS","s1","global",2008,"relative","fit",0.313988197175841,0.218975929410313,0.437124621211018
"MLS","s1","global",2009,"relative","fit",0.208236789561587,0.151491107299813,0.298730389066644
"MLS","s1","global",2010,"relative","fit",0.362530721402937,0.256213983230781,0.517646549609272
"MLS","s1","global",2011,"relative","fit",0.383125810184669,0.250271331547606,0.588073786983684
"MLS","s1","global",2012,"relative","fit",0.381113146811592,0.257165144113699,0.576202499368465
"MLS","s1","global",2013,"relative","fit",0.561377473420465,0.370731129109478,0.820316724623997
"MLS","s1","global",2014,"relative","fit",0.423221536229088,0.284827604999311,0.634496902263535
"MLS","s1","global",2015,"relative","fit",0.320171786635156,0.215749091069505,0.487612772302367
"MLS","s1","global",2016,"relative","fit",0.388584473044838,0.25329955679806,0.585675340650599
"MLS","s1","global",2017,"relative","fit",0.310200802926978,0.203552595330357,0.48417385694963
"MLS","s1","global",2018,"relative","prj",0.293760996684013,0.191245328813998,0.463377055329744
"MLS","s1","global",2019,"relative","prj",0.2784300781431,0.179611909410612,0.443959892302209
"MLS","s1","JAP_NW_hist",1976,"relative","fit",3.00782710961338,4.76749020116501,4.76749020116501
"MLS","s1","JAP_NW_hist",1977,"relative","fit",4.48487857826532,6.68470899963289,6.68470899963289
"MLS","s1","JAP_NW_hist",1978,"relative","fit",3.85340168302121,5.72152652430611,5.72152652430611
"MLS","s1","JAP_NW_hist",1979,"relative","fit",3.14369126097079,4.44124295675793,4.44124295675793
"MLS","s1","JAP_NW_hist",1980,"relative","fit",2.79025378623421,3.91161108721257,3.91161108721257
"MLS","s1","JAP_NW_hist",1981,"relative","fit",2.10171533372866,2.92175190889958,2.92175190889958
"MLS","s1","JAP_NW_hist",1982,"relative","fit",1.56158090734975,2.14866478985952,2.14866478985952
"MLS","s1","JAP_NW_hist",1983,"relative","fit",1.12328060524595,1.59097408836357,1.59097408836357
"MLS","s1","JAP_NW_hist",1984,"relative","fit",1.39430193814202,1.99622229479085,1.99622229479085
"MLS","s1","JAP_NW_hist",1985,"relative","fit",1.37896543784142,1.97512195388536,1.97512195388536
"MLS","s1","JAP_NW_hist",1986,"relative","fit",1.44751427404946,2.04599965338004,2.04599965338004
"MLS","s1","JAP_NW_hist",1987,"relative","fit",1.02489512759464,1.38625103149518,1.38625103149518
"MLS","s1","JAP_NW_hist",1988,"relative","fit",0.690465347540969,0.946173431136156,0.946173431136156
"MLS","s1","JAP_NW_hist",1989,"relative","fit",0.490332354413835,0.683795317919873,0.683795317919873
"MLS","s1","JAP_NW_hist",1990,"relative","fit",0.388469456308335,0.555467572908163,0.555467572908163
"MLS","s1","JAP_NW_hist",1991,"relative","fit",0.562569403032084,0.788251818304141,0.788251818304141
"MLS","s1","JAP_NW_hist",1992,"relative","fit",0.741197476859368,1.04123699607317,1.04123699607317
"MLS","s1","JAP_NW_hist",1993,"relative","fit",0.682050584743047,0.953207660133682,0.953207660133682
"MLS","s1","JAP_NW_hist",1994,"relative","fit",1.16611482794413,1.63515374302806,1.63515374302806
"MLS","s1","JAP_NW_hist",1995,"relative","fit",1.21025266145077,1.82207922194192,1.82207922194192
