Year,SC.Au.OG,SC.Au.NG,SC.Sp.OG,SC.Sp.NG,WC.Su.OG,WC.Su.NG
1991,0.217134948,0.0001,0.0001,0.0001,0.281207534,0.0001
1992,0.207445225,0.0001,0.0001,0.0001,0.201986822,0.0001
1993,0.153693631,0.0001,0.0001,0.0001,0.257739526,0.0001
1994,0.19571968,0.0001,0.0001,0.0001,0.236642291,0.0001
1995,0.178062255,0.0001,0.0001,0.0001,0.205854689,0.0001
1996,0.221401655,0.0001,0.0001,0.0001,0.258040376,0.0001
1997,0.206411987,0.0001,0.0001,0.0001,0.253140979,0.0001
1998,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
1999,0.163677025,0.0001,0.0001,0.0001,0.204860317,0.0001
2000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
2001,0.0001,0.0001,0.177126176,0.0001,0.0001,0.0001
2002,0.0001,0.0001,0.0001,0.0001,0.228965078,0.0001
2003,0.179357549,0.0001,0.0001,0.194792258,0.210195187,0.0001
2004,0.0001,0.174097532,0.0001,0.203542523,0.0001,0.278323497
2005,0.0001,0.174456807,0.0001,0.0001,0.0001,0.276341863
2006,0.17815193,0.0001,0.163145062,0.0001,0.226959776,0.0001
2007,0.0001,0.212292747,0.0001,0.255713268,0.0001,0.30843577
2008,0.0001,0.184414943,0.0001,0.18429597,0.0001,0.357769276
2009,0.0001,0.17583744,0.0001,0.0001,0.0001,0.261697035
2010,0.254137128,0.0001,0.0001,0.0001,0.257907248,0.0001
2011,0.0001,0.185582231,0.0001,0.0001,0.0001,0.232016193
2012,0.0001,0.0001,0.0001,0.0001,0.0001,0.245079502
2013,0.0001,0.0001,0.0001,0.0001,0.0001,0.290002868
2014,0.0001,0.144724692,0.0001,0.0001,0.0001,0.284546071
2015,0.0001,0.152276459,0.0001,0.0001,0.0001,0.285610455
2016,0.0001,0.168582278,0.0001,0.185613835,0.0001,0.205780219
2017,0.0001,0.0001,0.0001,0.0001,0.0001,0.248350192
