"yr","Type","estimation","total","total.lcl","total.ucl"
1991,"relative","fit",7654.45386777868,6075.12473922956,9562.41870900073
1992,"relative","fit",7726.94202734195,6349.95752322523,9368.37897294059
1993,"relative","fit",7875.23849142191,6573.50538914115,9520.50861493235
1994,"relative","fit",7936.08345399641,6651.56614302182,9519.27401232685
1995,"relative","fit",8025.3434371069,6730.44616651667,9618.53366777375
1996,"relative","fit",8107.70027030318,6776.5657068247,9809.7971588664
1997,"relative","fit",8127.13987960965,6792.22905099806,9986.85911467222
1998,"relative","fit",8238.75284463076,6801.40426122707,10440.5883928895
1999,"relative","fit",8349.98862502381,6928.21819301945,10614.0730028155
2000,"relative","fit",8058.02237868368,6545.94070782698,10130.3817591373
2001,"relative","fit",7768.96183809152,6197.96277086044,9600.40572816193
2002,"relative","fit",7514.30089140401,5929.30445866171,9253.52525222179
2003,"relative","fit",7370.80383554326,5869.29327876395,9075.6524763874
2004,"relative","fit",7340.77691822256,5712.7330478463,9143.94990688394
2005,"relative","fit",7459.04472172474,5787.08029812849,9277.54069458094
2006,"relative","fit",7558.26640312622,5950.57546369289,9390.78139847409
2007,"relative","fit",7518.79000917811,5679.99721894468,9505.26434297295
2008,"relative","fit",7792.8948050561,5937.68211804424,9915.9421473681
2009,"relative","fit",8141.09549383835,6310.30290750059,10400.3424320034
2010,"relative","fit",8298.2337451208,6405.25384117565,10636.6921778045
2011,"relative","fit",8609.88987860976,6559.96681678074,11295.9126523442
2012,"relative","fit",8757.46514702015,6585.17747089485,11742.8220740325
2013,"relative","fit",8786.97829524289,6546.30421339504,11779.3446265069
2014,"relative","fit",8946.7479595109,6670.51878504057,11970.1157818224
2015,"relative","fit",8740.78214560693,6460.18252878678,11734.6669152067
2016,"relative","fit",8664.81413371041,6326.8240340906,11690.3607639905
2017,"relative","fit",8692.5792726578,6096.82869043161,12129.6939076535
2018,"relative","prj",8731.71608977283,6038.70612540653,12369.3367467537
2019,"relative","prj",8771.98164712817,5976.03319789378,12610.4561623094
2020,"relative","prj",8819.90796420721,5922.26838897156,12854.9940538757
2021,"relative","prj",8864.43097785851,5871.61781125379,13108.7113734415
2022,"relative","prj",8907.16592429305,5820.90429077791,13367.9653527174
2023,"relative","prj",8951.49706230703,5769.11915370446,13604.4415633725
2024,"relative","prj",8998.78398787257,5725.47620378679,13863.8744284141
2025,"relative","prj",9045.7487575317,5665.73979289166,14117.9977113618
2026,"relative","prj",9087.97607409853,5605.81361820845,14357.4335574643
