Year,SC.Au.OG,SC.Au.NG,SC.Sp.OG,SC.Sp.NG
1991,6942.256422,NA,NA,NA
1992,6797.637965,NA,NA,NA
1993,6879.184591,NA,NA,NA
1994,5871.70608,NA,NA,NA
1995,9600.04923,NA,NA,NA
1996,7329.197126,NA,NA,NA
1997,6858.263626,NA,NA,NA
1998,NA,NA,NA,NA
1999,6364.187297,NA,NA,NA
2000,NA,NA,NA,NA
2001,NA,NA,7262.492945,NA
2002,NA,NA,NA,NA
2003,9353.108227,NA,NA,4548.658366
2004,NA,2789.64567,NA,2712.974085
2005,NA,2662.752053,NA,NA
2006,6725.122178,NA,5495.235545,NA
2007,NA,2975.398577,NA,3104.933999
2008,NA,1606.176281,NA,1748.399602
2009,NA,3456.382728,NA,NA
2010,4306.058158,NA,NA,NA
2011,NA,852.7810561,NA,NA
2012,NA,NA,NA,NA
2013,NA,NA,NA,NA
2014,NA,2840.45529,NA,NA
2015,NA,2027.585273,NA,NA
2016,NA,1869.830623,NA,1841.047835
2017,NA,NA,NA,NA
