Year,SC.Au.OG,SC.Au.NG,SC.Sp.OG,SC.Sp.NG
1991,0.155499538,0.0001,0.0001,0.0001
1992,0.140429612,0.0001,0.0001,0.0001
1993,0.11896667,0.0001,0.0001,0.0001
1994,0.144614893,0.0001,0.0001,0.0001
1995,0.128565344,0.0001,0.0001,0.0001
1996,0.150883836,0.0001,0.0001,0.0001
1997,0.127904592,0.0001,0.0001,0.0001
1998,0.0001,0.0001,0.0001,0.0001
1999,0.138714498,0.0001,0.0001,0.0001
2000,0.0001,0.0001,0.0001,0.0001
2001,0.0001,0.0001,0.182018245,0.0001
2002,0.0001,0.0001,0.0001,0.0001
2003,0.129493798,0.0001,0.0001,0.153046718
2004,0.0001,0.153245605,0.0001,0.230752922
2005,0.0001,0.143154507,0.0001,0.0001
2006,0.120784235,0.0001,0.172004963,0.0001
2007,0.0001,0.131432763,0.0001,0.219165121
2008,0.0001,0.18715737,0.0001,0.188729526
2009,0.0001,0.151044205,0.0001,0.0001
2010,0.222453959,0.0001,0.0001,0.0001
2011,0.0001,0.248917685,0.0001,0.0001
2012,0.0001,0.0001,0.0001,0.0001
2013,0.0001,0.0001,0.0001,0.0001
2014,0.0001,0.137644469,0.0001,0.0001
2015,0.0001,0.149704783,0.0001,0.0001
2016,0.0001,0.168636467,0.0001,0.259753821
2017,0.0001,0.0001,0.0001,0.0001
