"yr","Type","estimation","total","total.lcl","total.ucl"
1991,"relative","fit",7199.4466677897,5167.46843529785,9703.81052159077
1992,"relative","fit",7104.47263109028,5349.32679694903,9181.5532741711
1993,"relative","fit",7107.5666489015,5532.72408029563,8975.12836520696
1994,"relative","fit",7038.62456406048,5392.8759337685,8877.96671839965
1995,"relative","fit",7587.97159542321,6047.60458324412,10080.3980300598
1996,"relative","fit",7319.85080259632,5791.58430516441,9412.10301780007
1997,"relative","fit",7132.25243098352,5469.30343395678,9143.57165629575
1998,"relative","fit",7072.20616794795,5003.88494569597,9848.7055607014
1999,"relative","fit",6968.57976937806,5222.3066514056,9205.01698863937
2000,"relative","fit",7149.99826566843,4991.82721361481,10422.9710395816
2001,"relative","fit",7429.26616155134,5380.7938611101,11317.7512211473
2002,"relative","fit",7514.64428585144,5400.35847246139,12039.5994874959
2003,"relative","fit",7821.9485576532,5499.84209560897,11149.1681642897
2004,"relative","fit",6827.12368355097,4907.91674498806,9626.11664311539
2005,"relative","fit",6445.16398443142,4532.54520508623,9127.07605258441
2006,"relative","fit",6303.02386879316,4673.95623336134,8441.1376897254
2007,"relative","fit",6047.46475817144,4334.48197096736,8607.62177011916
2008,"relative","fit",5242.69485613517,3473.37665040802,7397.90819081694
2009,"relative","fit",5522.69027020322,3835.13724584533,8133.11218048867
2010,"relative","fit",4828.64069611027,3259.37451088043,6900.62268209792
2011,"relative","fit",4344.7930759052,2392.36203126992,6663.24581742889
2012,"relative","fit",4602.23746904649,2637.50438273881,7064.98231048323
2013,"relative","fit",4819.2701926326,2946.07105649425,7619.0190987619
2014,"relative","fit",5105.59815358398,3315.39743715306,8056.14194197582
2015,"relative","fit",4782.96200591585,3102.70190610623,7407.83530547494
2016,"relative","fit",4550.12501362277,2882.72479538784,7145.75516965605
2017,"relative","fit",4480.97028453702,2501.33382757574,7946.23359062522
2018,"relative","prj",4395.63021846064,2400.46536989612,8002.88486747911
2019,"relative","prj",4313.88768376323,2301.81672423236,8049.29606266874
2020,"relative","prj",4231.05519996598,2205.74220932442,8117.88322851202
2021,"relative","prj",4155.95802109933,2120.87361614537,8182.602462258
